Query	GO:EggNOG GO Cellular
jg11924	GO:0031143
jg11924	GO:0044444
jg12500	GO:0005737
jg12500	GO:0005794
jg12500	GO:0005829
jg12500	GO:0016469
jg12500	GO:0030529
jg12500	GO:0043231
jg12500	GO:0044444
jg12218	GO:0005737
jg12218	GO:0005829
jg12218	GO:0044444
jg12347	GO:0043231
jg11833	GO:0005737
jg11833	GO:0005794
jg11833	GO:0043231
jg11833	GO:0044444
jg11791	GO:0005737
jg11791	GO:0016021
jg11791	GO:0030529
jg11791	GO:0043231
jg11791	GO:0044444
jg11700	GO:0016021
jg12165	GO:0005737
jg12165	GO:0005829
jg12165	GO:0043231
jg12165	GO:0044444
jg11965	GO:0005737
jg11965	GO:0005794
jg11965	GO:0016021
jg11965	GO:0043231
jg11965	GO:0044444
jg12530	GO:0005737
jg12530	GO:0043231
jg12530	GO:0044444
jg11859	GO:0005737
jg11859	GO:0005783
jg11859	GO:0005794
jg11859	GO:0005887
jg11859	GO:0012506
jg11859	GO:0016021
jg11859	GO:0031205
jg11859	GO:0031410
jg11859	GO:0034702
jg11859	GO:0043190
jg11859	GO:0043231
jg11859	GO:0044444
jg12275	GO:0005737
jg12275	GO:0005829
jg12275	GO:0043231
jg12275	GO:0044444
jg11496	GO:0005737
jg11496	GO:0005929
jg11496	GO:0030117
jg11496	GO:0043231
jg11496	GO:0044444
jg12503	GO:0005737
jg12503	GO:0005794
jg12503	GO:0043231
jg12503	GO:0044444
jg11703	GO:0005737
jg11703	GO:0043231
jg11703	GO:0044444
jg12397	GO:0005737
jg12397	GO:0043231
jg12397	GO:0044444
jg12166	GO:0005737
jg12166	GO:0035838
jg12166	GO:0043231
jg12166	GO:0090404
jg12166	GO:0090406
jg11730	GO:0005737
jg11730	GO:0016021
jg11730	GO:0031301
jg11730	GO:0031968
jg11730	GO:0032592
jg11730	GO:0043231
jg11730	GO:0044444
jg11730	GO:0044455
jg11388	GO:0005737
jg11518	GO:0005737
jg11518	GO:0005783
jg11518	GO:0005794
jg11518	GO:0005829
jg11518	GO:0043231
jg11518	GO:0044444
jg11884	GO:0005737
jg11884	GO:0005829
jg11884	GO:0044444
jg11769	GO:0005737
jg11769	GO:0009521
jg11769	GO:0009579
jg11769	GO:0016021
jg11769	GO:0034357
jg11769	GO:0043231
jg11769	GO:0044436
jg11769	GO:0044444
jg11421	GO:0005737
jg11421	GO:0005929
jg11421	GO:0043231
jg11421	GO:0044447
jg11738	GO:0005737
jg11738	GO:0005794
jg11738	GO:0016021
jg11738	GO:0043231
jg11738	GO:0044444
jg12589	GO:0005737
jg12589	GO:0009579
jg12589	GO:0016021
jg12589	GO:0043231
jg12589	GO:0044444
jg11832	GO:0005737
jg11832	GO:0005783
jg11832	GO:0016021
jg11832	GO:0043231
jg11832	GO:0044444
jg12156	GO:0005737
jg12156	GO:0043231
jg12289	GO:0005737
jg12289	GO:0016021
jg12289	GO:0043231
jg12289	GO:0044444
jg12513	GO:0005737
jg12264	GO:0005737
jg12264	GO:0005829
jg12264	GO:0012506
jg12264	GO:0030529
jg12264	GO:0031410
jg12264	GO:0043231
jg12264	GO:0044444
jg12424	GO:0005737
jg12424	GO:0043231
jg12383	GO:0005737
jg12383	GO:0030529
jg12383	GO:0043231
jg12383	GO:0044444
jg12121	GO:0005737
jg12121	GO:0043231
jg12121	GO:0044444
jg12207	GO:0016021
jg12023	GO:0005618
jg12023	GO:0005737
jg12023	GO:0005829
jg12023	GO:0030529
jg12023	GO:0043231
jg12023	GO:0044444
jg11581	GO:0000159
jg11581	GO:0005618
jg11581	GO:0005737
jg11581	GO:0005829
jg11581	GO:0043231
jg11581	GO:0044444
jg11921	GO:0005737
jg11921	GO:0005794
jg11921	GO:0043231
jg11921	GO:0044444
jg12294	GO:0005737
jg12294	GO:0043231
jg12294	GO:0044444
jg11784	GO:0005737
jg11784	GO:0043231
jg11784	GO:0044444
jg11864	GO:0005737
jg11864	GO:0043231
jg11864	GO:0044444
jg11979	GO:0005737
jg11979	GO:0043231
jg11979	GO:0044444
jg11838	GO:0005635
jg11838	GO:0005737
jg11838	GO:0005794
jg11838	GO:0005887
jg11838	GO:0016021
jg11838	GO:0031301
jg11838	GO:0043231
jg11838	GO:0044444
jg12569	GO:0005737
jg12569	GO:0005794
jg12569	GO:0043231
jg12569	GO:0044444
jg11614	GO:0005694
jg11614	GO:0005737
jg11614	GO:0043231
jg11614	GO:0044444
jg11865	GO:0005737
jg11865	GO:0043231
jg11865	GO:0044444
jg11886	GO:0005737
jg11886	GO:0005829
jg11886	GO:0044444
jg12175	GO:0005737
jg12175	GO:0005929
jg12175	GO:0043231
jg12175	GO:0044444
jg12159	GO:0005737
jg12159	GO:0005829
jg12159	GO:0030529
jg12159	GO:0043231
jg12159	GO:0044444
jg11954	GO:0005737
jg11954	GO:0005783
jg11954	GO:0016021
jg11954	GO:0043231
jg11954	GO:0044444
jg11663	GO:0005618
jg11663	GO:0005737
jg11663	GO:0005783
jg11663	GO:0005829
jg11663	GO:0009579
jg11663	GO:0043231
jg11663	GO:0044444
jg12437	GO:0000502
jg12437	GO:0005737
jg12437	GO:0005829
jg12437	GO:0005839
jg12437	GO:0019773
jg12437	GO:0030529
jg12437	GO:0043231
jg12437	GO:0044444
jg12058	GO:0016021
jg12295	GO:0005737
jg12295	GO:0016021
jg12295	GO:0031301
jg12295	GO:0031968
jg12295	GO:0032592
jg12295	GO:0043231
jg12295	GO:0044444
jg12295	GO:0044455
jg11475	GO:0005737
jg11475	GO:0005783
jg11475	GO:0005794
jg11475	GO:0016021
jg11475	GO:0043231
jg11475	GO:0044444
jg12611	GO:0005737
jg12611	GO:0043231
jg12611	GO:0044444
jg12176	GO:0030529
jg12176	GO:0043231
jg12585	GO:0005737
jg12585	GO:0043231
jg12585	GO:0044444
jg12080	GO:0005737
jg12080	GO:0043231
jg12080	GO:0044444
jg12402	GO:0000159
jg12402	GO:0005737
jg12402	GO:0043231
jg12402	GO:0044444
jg12132	GO:0005618
jg12132	GO:0005737
jg12132	GO:0016021
jg12132	GO:0019866
jg12132	GO:0043231
jg12132	GO:0044444
jg11856	GO:0005737
jg11856	GO:0043231
jg12047	GO:0043231
jg12373	GO:0005618
jg12373	GO:0005737
jg12373	GO:0005794
jg12373	GO:0005829
jg12373	GO:0043231
jg12373	GO:0044444
jg11499	GO:0005737
jg11499	GO:0043231
jg11499	GO:0044444
jg11932	GO:0005737
jg11932	GO:0043231
jg11545	GO:0043231
jg12322	GO:0005694
jg12322	GO:0043231
jg11756	GO:0005737
jg11756	GO:0043231
jg11489	GO:0043231
jg12113	GO:0005737
jg12113	GO:0043231
jg12113	GO:0044444
jg12400	GO:0043231
jg12279	GO:0005737
jg12279	GO:0005829
jg12279	GO:0043231
jg12279	GO:0044444
jg11697	GO:0005737
jg11697	GO:0005794
jg11697	GO:0005829
jg11697	GO:0031410
jg11697	GO:0035838
jg11697	GO:0043231
jg11697	GO:0044444
jg11697	GO:0090404
jg11697	GO:0090406
jg12068	GO:0005737
jg12068	GO:0005783
jg12068	GO:0016021
jg12068	GO:0043231
jg12068	GO:0044444
jg11604	GO:0005737
jg11604	GO:0005783
jg11604	GO:0005829
jg11604	GO:0016021
jg11604	GO:0043231
jg11604	GO:0044444
jg11964	GO:0005737
jg11964	GO:0043231
jg11964	GO:0044444
jg12491	GO:0005737
jg12491	GO:0005783
jg12491	GO:0005794
jg12491	GO:0012506
jg12491	GO:0016021
jg12491	GO:0031410
jg12491	GO:0043005
jg12491	GO:0043231
jg12491	GO:0044444
jg12574	GO:0005737
jg12574	GO:0043231
jg12574	GO:0044444
jg11432	GO:0005737
jg11432	GO:0005829
jg11432	GO:0043231
jg11432	GO:0044444
jg11667	GO:0005737
jg11667	GO:0005829
jg11667	GO:0030529
jg11667	GO:0044444
jg11692	GO:0005737
jg11692	GO:0043231
jg11692	GO:0044444
jg11410	GO:0005737
jg11410	GO:0016021
jg11410	GO:0019866
jg11410	GO:0043231
jg11410	GO:0044444
jg12149	GO:0043231
jg12417	GO:0005737
jg12417	GO:0016021
jg12417	GO:0043231
jg12417	GO:0044444
jg12475	GO:0016021
jg11682	GO:0005618
jg11682	GO:0005737
jg11682	GO:0005783
jg11682	GO:0005829
jg11682	GO:0009579
jg11682	GO:0043231
jg11682	GO:0044444
jg11426	GO:0043231
jg11668	GO:0016021
jg12454	GO:0005737
jg12454	GO:0005829
jg12454	GO:0043231
jg12454	GO:0044444
jg11721	GO:0043231
jg12151	GO:0005737
jg12151	GO:0005783
jg12151	GO:0043231
jg12151	GO:0044444
jg11908	GO:0005737
jg11908	GO:0005829
jg11908	GO:0044444
jg12137	GO:0016021
jg12110	GO:0000159
jg12108	GO:0005737
jg12108	GO:0043231
jg12108	GO:0044444
jg11910	GO:0005737
jg11910	GO:0005794
jg11910	GO:0043231
jg11910	GO:0044444
jg11937	GO:0000502
jg11937	GO:0043231
jg11402	GO:0043231
jg12042	GO:0005737
jg12042	GO:0043231
jg12042	GO:0044444
jg11412	GO:0005737
jg11412	GO:0043231
jg12524	GO:0005737
jg12524	GO:0030529
jg12524	GO:0044444
jg12019	GO:0005694
jg12019	GO:0043231
jg12372	GO:0005737
jg12372	GO:0005783
jg12372	GO:0043231
jg12372	GO:0044444
jg12229	GO:0009521
jg12229	GO:0009579
jg12229	GO:0030529
jg12229	GO:0034357
jg12229	GO:0043231
jg12229	GO:0044436
jg12191	GO:0016021
jg12499	GO:0005737
jg12499	GO:0005794
jg12499	GO:0005829
jg12499	GO:0016469
jg12499	GO:0030529
jg12499	GO:0043231
jg12499	GO:0044444
jg12546	GO:0005737
jg12546	GO:0005794
jg12546	GO:0043231
jg12546	GO:0044444
jg12407	GO:0000502
jg12407	GO:0005737
jg12407	GO:0005829
jg12407	GO:0030529
jg12407	GO:0044444
jg11771	GO:0005737
jg11771	GO:0005783
jg11771	GO:0043231
jg11771	GO:0044444
jg11746	GO:0005737
jg11746	GO:0005783
jg11746	GO:0005794
jg11746	GO:0016021
jg11746	GO:0043231
jg11746	GO:0044444
jg11579	GO:0043231
jg11643	GO:0016021
jg12609	GO:0005737
jg12609	GO:0005829
jg12609	GO:0044444
jg11724	GO:0043231
jg12193	GO:0005737
jg12193	GO:0005829
jg12193	GO:0043231
jg12193	GO:0044444
jg12061	GO:0005737
jg12061	GO:0005783
jg12061	GO:0005794
jg12061	GO:0043231
jg12061	GO:0044444
jg12602	GO:0005737
jg12602	GO:0005829
jg12602	GO:0044444
jg12163	GO:0005737
jg12163	GO:0043231
jg12163	GO:0044444
jg12018	GO:0043231
jg12114	GO:0005694
jg12114	GO:0005737
jg12114	GO:0009579
jg12114	GO:0043231
jg12114	GO:0044444
jg11578	GO:0005737
jg11578	GO:0016021
jg11578	GO:0043231
jg11578	GO:0044444
jg12625	GO:0005737
jg12625	GO:0043231
jg12625	GO:0044444
jg12206	GO:0016021
jg12140	GO:0005737
jg12140	GO:0043231
jg12140	GO:0044444
jg11816	GO:0005737
jg11816	GO:0005783
jg11816	GO:0043231
jg11816	GO:0044444
jg11720	GO:0005737
jg11720	GO:0005794
jg11720	GO:0031225
jg11720	GO:0043231
jg11720	GO:0044444
jg11720	GO:0046658
jg12386	GO:0005737
jg12386	GO:0043231
jg12386	GO:0044444
jg11987	GO:0005618
jg12520	GO:0005737
jg12520	GO:0005829
jg12520	GO:0043231
jg12520	GO:0044444
jg12104	GO:0005737
jg12104	GO:0005783
jg12104	GO:0016021
jg12104	GO:0019866
jg12104	GO:0043231
jg12104	GO:0044444
jg11997	GO:0043231
jg11638	GO:0005618
jg11638	GO:0005737
jg11638	GO:0043231
jg11638	GO:0044444
jg12008	GO:0005737
jg12008	GO:0005783
jg12008	GO:0016021
jg12008	GO:0043231
jg12008	GO:0044444
jg12010	GO:0005694
jg12010	GO:0043231
jg12197	GO:0005737
jg12197	GO:0043231
jg12197	GO:0044444
jg12458	GO:0005737
jg12458	GO:0016021
jg11953	GO:0016021
jg11953	GO:0043231
jg12062	GO:0005737
jg12062	GO:0030425
jg12062	GO:0030529
jg12062	GO:0043005
jg12062	GO:0043231
jg12062	GO:0044444
jg12062	GO:0071598
jg12460	GO:0005737
jg12460	GO:0005829
jg12460	GO:0030529
jg12460	GO:0044444
jg11487	GO:0043231
jg12346	GO:0005737
jg12346	GO:0043231
jg12346	GO:0044444
jg11947	GO:0005737
jg11947	GO:0009579
jg11947	GO:0016021
jg11947	GO:0019866
jg11947	GO:0043231
jg11947	GO:0044444
jg12440	GO:0043231
jg11482	GO:0043231
jg11608	GO:0005737
jg11608	GO:0005783
jg11608	GO:0005794
jg11608	GO:0016021
jg11608	GO:0043231
jg11608	GO:0044444
jg12578	GO:0043231
jg12134	GO:0043231
jg11878	GO:0005737
jg11878	GO:0005845
jg11878	GO:0005846
jg11878	GO:0043231
jg12099	GO:0005737
jg12064	GO:0005737
jg12064	GO:0009579
jg12064	GO:0034357
jg12064	GO:0043231
jg12064	GO:0044436
jg12064	GO:0044444
jg11447	GO:0001411
jg11447	GO:0005618
jg11447	GO:0005737
jg11447	GO:0005783
jg11447	GO:0005829
jg11447	GO:0016021
jg11447	GO:0030287
jg11447	GO:0031225
jg11447	GO:0031410
jg11447	GO:0031521
jg11447	GO:0043231
jg11447	GO:0044444
jg11998	GO:0031225
jg11998	GO:0046658
jg12007	GO:0043231
jg12150	GO:0005737
jg12150	GO:0016021
jg12150	GO:0043231
jg12150	GO:0044444
jg12182	GO:0043231
jg11911	GO:0005737
jg11911	GO:0005829
jg11911	GO:0044444
jg11950	GO:0005737
jg11950	GO:0005829
jg11950	GO:0044444
jg12419	GO:0005737
jg11452	GO:0005737
jg11452	GO:0005829
jg11452	GO:0016021
jg11452	GO:0030529
jg11452	GO:0044444
jg11633	GO:0005737
jg11633	GO:0005829
jg11633	GO:0044444
jg12059	GO:0000151
jg12059	GO:0016021
jg12227	GO:0005737
jg12227	GO:0005794
jg12227	GO:0043231
jg12227	GO:0044444
jg11691	GO:0005618
jg11691	GO:0005737
jg12101	GO:0005737
jg12101	GO:0005783
jg12101	GO:0043231
jg12101	GO:0044444
jg12442	GO:0005737
jg12442	GO:0043231
jg12404	GO:0000502
jg12404	GO:0005737
jg12404	GO:0005829
jg12404	GO:0005838
jg12404	GO:0022624
jg12404	GO:0043231
jg12404	GO:0044444
jg12030	GO:0000151
jg12030	GO:0005737
jg12030	GO:0043231
jg12030	GO:0044444
jg12535	GO:0043231
jg11516	GO:0043231
jg11736	GO:0005737
jg11736	GO:0005829
jg11736	GO:0043231
jg11736	GO:0044444
jg11827	GO:0016021
jg12041	GO:0005737
jg12041	GO:0043231
jg12041	GO:0044444
jg11458	GO:0005737
jg11458	GO:0043231
jg11458	GO:0044444
jg12152	GO:0005737
jg12152	GO:0005829
jg12152	GO:0043231
jg12152	GO:0044444
jg11612	GO:0005737
jg11612	GO:0005794
jg11612	GO:0012506
jg11612	GO:0030117
jg11612	GO:0030120
jg11612	GO:0031410
jg11612	GO:0043231
jg11612	GO:0044444
jg12487	GO:0005737
jg12487	GO:0005829
jg12487	GO:0043231
jg12487	GO:0044444
jg12236	GO:0005737
jg12236	GO:0005783
jg12236	GO:0043231
jg12236	GO:0044444
jg11750	GO:0043231
jg12562	GO:0000813
jg12562	GO:0005737
jg12562	GO:0043231
jg12562	GO:0044444
jg12172	GO:0005737
jg12172	GO:0009368
jg12172	GO:0009579
jg12172	GO:0043231
jg12172	GO:0044444
jg11798	GO:0043231
jg12422	GO:0005635
jg12422	GO:0005737
jg12422	GO:0005783
jg12422	GO:0005829
jg12422	GO:0005887
jg12422	GO:0016021
jg12422	GO:0043231
jg12422	GO:0044444
jg11423	GO:0005737
jg11423	GO:0043231
jg12534	GO:0005737
jg12534	GO:0005783
jg12534	GO:0016021
jg12534	GO:0043231
jg12534	GO:0044444
jg11839	GO:0005737
jg11839	GO:0043231
jg11839	GO:0044444
jg11978	GO:0005737
jg11978	GO:0009579
jg11978	GO:0034357
jg11978	GO:0043231
jg11978	GO:0044436
jg11978	GO:0044444
jg11882	GO:0016021
jg12381	GO:0005737
jg12381	GO:0009579
jg12381	GO:0043231
jg12381	GO:0044444
jg12298	GO:0000151
jg12298	GO:0005737
jg12298	GO:0005829
jg12298	GO:0030529
jg12298	GO:0044444
jg12550	GO:0005737
jg12550	GO:0043231
jg12550	GO:0044444
jg12268	GO:0005737
jg12268	GO:0005783
jg12268	GO:0042406
jg12268	GO:0043231
jg12268	GO:0044444
jg12239	GO:0005737
jg12239	GO:0005846
jg12239	GO:0043231
jg12239	GO:0044444
jg11858	GO:0005737
jg11858	GO:0005783
jg11858	GO:0005794
jg11858	GO:0005887
jg11858	GO:0012506
jg11858	GO:0016021
jg11858	GO:0031205
jg11858	GO:0031410
jg11858	GO:0034702
jg11858	GO:0043190
jg11858	GO:0043231
jg11858	GO:0044444
jg12501	GO:0005737
jg12501	GO:0005794
jg12501	GO:0016021
jg12501	GO:0043231
jg12501	GO:0044444
jg11927	GO:0005737
jg11927	GO:0031410
jg11927	GO:0043231
jg11927	GO:0044444
jg11587	GO:0005737
jg11587	GO:0043231
jg12590	GO:0005737
jg12590	GO:0043231
jg12590	GO:0044444
jg12441	GO:0016021
jg12201	GO:0005737
jg12201	GO:0005783
jg12201	GO:0005794
jg12201	GO:0012506
jg12201	GO:0016021
jg12201	GO:0031301
jg12201	GO:0031410
jg12201	GO:0043025
jg12201	GO:0043231
jg12201	GO:0044444
jg11504	GO:0005737
jg11504	GO:0005829
jg11504	GO:0043231
jg11504	GO:0044444
jg12066	GO:0005737
jg12066	GO:0016021
jg12066	GO:0043231
jg12066	GO:0044444
jg11843	GO:0043231
jg11760	GO:0005635
jg11760	GO:0005737
jg11760	GO:0005783
jg11760	GO:0005794
jg11760	GO:0005829
jg11760	GO:0016021
jg11760	GO:0019866
jg11760	GO:0043231
jg11760	GO:0044444
jg11470	GO:0005737
jg11470	GO:0005829
jg11470	GO:0044444
jg12416	GO:0005737
jg12416	GO:0009579
jg12416	GO:0034357
jg12416	GO:0043231
jg12416	GO:0044436
jg12416	GO:0044444
jg11645	GO:0005737
jg11645	GO:0005829
jg11645	GO:0043231
jg11645	GO:0044444
jg11973	GO:0043231
jg12332	GO:0005737
jg12332	GO:0019866
jg12332	GO:0043231
jg12332	GO:0044444
jg12332	GO:0044455
jg12531	GO:0005737
jg12531	GO:0005829
jg12531	GO:0044444
jg11863	GO:0005737
jg11863	GO:0005783
jg11863	GO:0043231
jg11863	GO:0044444
jg11695	GO:0005737
jg11695	GO:0030117
jg11695	GO:0044444
jg11422	GO:0005737
jg11422	GO:0043231
jg11714	GO:0005737
jg11714	GO:0005829
jg11714	GO:0043231
jg11714	GO:0044444
jg11582	GO:0043231
jg11922	GO:0005737
jg11922	GO:0005794
jg11922	GO:0043231
jg11922	GO:0044444
jg12540	GO:0005737
jg12540	GO:0016021
jg12540	GO:0031968
jg12540	GO:0043231
jg12540	GO:0044444
jg12540	GO:0046930
jg11757	GO:0005737
jg11757	GO:0005829
jg11757	GO:0043231
jg11757	GO:0044444
jg11405	GO:0000151
jg12375	GO:0000151
jg11753	GO:0005737
jg11753	GO:0043231
jg11753	GO:0044444
jg12317	GO:0005737
jg12317	GO:0043231
jg12317	GO:0044444
jg11704	GO:0005737
jg11704	GO:0016021
jg11704	GO:0019031
jg11704	GO:0019866
jg11704	GO:0030529
jg11704	GO:0043231
jg11704	GO:0044444
jg11590	GO:0005737
jg11590	GO:0043231
jg11590	GO:0044444
jg11767	GO:0005618
jg11767	GO:0005737
jg11767	GO:0005794
jg11767	GO:0016021
jg11767	GO:0043231
jg11767	GO:0044444
jg11797	GO:0005737
jg11797	GO:0043231
jg11797	GO:0044444
jg11916	GO:0005737
jg11916	GO:0043231
jg11916	GO:0044444
jg12553	GO:0005737
jg12553	GO:0043231
jg12553	GO:0044444
jg11920	GO:0005737
jg11920	GO:0005794
jg11920	GO:0043231
jg11920	GO:0044444
jg11552	GO:0005737
jg11552	GO:0043231
jg11552	GO:0044444
jg11809	GO:0005737
jg11809	GO:0016021
jg11809	GO:0019866
jg11809	GO:0043231
jg11809	GO:0044444
jg12177	GO:0043231
jg12376	GO:0005737
jg12376	GO:0043231
jg12376	GO:0044444
jg11655	GO:0005737
jg11655	GO:0043231
jg11655	GO:0044444
jg11748	GO:0005737
jg11748	GO:0005829
jg11748	GO:0044444
jg123	GO:0005618
jg122	GO:0005737
jg122	GO:0043231
jg122	GO:0044444
jg127	GO:0005737
jg127	GO:0043231
jg127	GO:0044444
jg33700	GO:0005737
jg33700	GO:0005783
jg33700	GO:0043231
jg33700	GO:0044444
jg8658	GO:0005737
jg8658	GO:0005794
jg8658	GO:0043231
jg8658	GO:0044444
jg7	GO:0005737
jg7	GO:0005829
jg7	GO:0044444
jg8	GO:0016021
jg35221	GO:0005737
jg35221	GO:0009579
jg35221	GO:0034357
jg35221	GO:0043231
jg35221	GO:0044436
jg35221	GO:0044444
jg35220	GO:0005737
jg35220	GO:0009579
jg35220	GO:0034357
jg35220	GO:0043231
jg35220	GO:0044436
jg35220	GO:0044444
jg7445	GO:0005737
jg7445	GO:0005829
jg7445	GO:0030529
jg7445	GO:0044444
jg7439	GO:0005737
jg7439	GO:0016021
jg7439	GO:0016469
jg7439	GO:0043231
jg7439	GO:0044444
jg19576	GO:0043231
jg20144	GO:0043231
jg18918	GO:0000502
jg18918	GO:0005737
jg18918	GO:0005829
jg18918	GO:0005839
jg18918	GO:0019773
jg18918	GO:0043231
jg18918	GO:0044444
jg19304	GO:0005737
jg19304	GO:0005783
jg19304	GO:0043231
jg19304	GO:0044444
jg19166	GO:0005737
jg19166	GO:0005829
jg19166	GO:0019866
jg19166	GO:0043231
jg19166	GO:0044444
jg19166	GO:0044455
jg18961	GO:0005737
jg18961	GO:0043231
jg18961	GO:0044444
jg19623	GO:0005737
jg19623	GO:0005829
jg19623	GO:0044444
jg126	GO:0005737
jg126	GO:0043231
jg126	GO:0044444
jg18933	GO:0005694
jg18933	GO:0043231
jg12038	GO:0043231
jg20053	GO:0043231
jg19849	GO:0005737
jg19849	GO:0043231
jg19849	GO:0044444
jg19737	GO:0005737
jg19737	GO:0005829
jg19737	GO:0030529
jg19737	GO:0043231
jg19737	GO:0044444
jg19203	GO:0005737
jg19203	GO:0005829
jg19203	GO:0043231
jg19203	GO:0044444
jg19213	GO:0005737
jg19213	GO:0005829
jg19213	GO:0043231
jg19213	GO:0044444
jg20057	GO:0005694
jg20057	GO:0032300
jg20057	GO:0043231
jg20229	GO:0000151
jg20229	GO:0005737
jg20229	GO:0043231
jg20191	GO:0016021
jg19594	GO:0016021
jg19700	GO:0005737
jg19700	GO:0043231
jg19700	GO:0044444
jg20133	GO:0009279
jg20133	GO:0030313
jg20133	GO:0043231
jg19207	GO:0005737
jg19207	GO:0005829
jg19207	GO:0043231
jg19207	GO:0044444
jg12377	GO:0043231
jg12003	GO:0043231
jg19121	GO:0005635
jg19121	GO:0005737
jg19121	GO:0005783
jg19121	GO:0005829
jg19121	GO:0005887
jg19121	GO:0016021
jg19121	GO:0043231
jg19121	GO:0044444
jg19733	GO:0016021
jg19023	GO:0005618
jg19155	GO:0005737
jg19155	GO:0005829
jg19155	GO:0030529
jg19155	GO:0043231
jg19155	GO:0044444
jg19946	GO:0005737
jg19946	GO:0009521
jg19946	GO:0009579
jg19946	GO:0016021
jg19946	GO:0034357
jg19946	GO:0043231
jg19946	GO:0044436
jg19946	GO:0044444
jg20245	GO:0005737
jg20245	GO:0005829
jg20245	GO:0043231
jg20245	GO:0044444
jg19363	GO:0005737
jg19363	GO:0005846
jg19363	GO:0043231
jg19781	GO:0016021
jg12303	GO:0005737
jg12303	GO:0043231
jg20083	GO:0005737
jg20083	GO:0016021
jg20083	GO:0031301
jg20083	GO:0031351
jg20083	GO:0031968
jg20083	GO:0043231
jg20083	GO:0044444
jg20040	GO:0005737
jg20040	GO:0043231
jg19929	GO:0005737
jg19929	GO:0043231
jg19445	GO:0005737
jg19445	GO:0043231
jg19510	GO:0016021
jg19537	GO:0005737
jg19537	GO:0005783
jg19537	GO:0016021
jg19537	GO:0043231
jg19537	GO:0044444
jg19015	GO:0005737
jg19015	GO:0016021
jg19015	GO:0043231
jg19015	GO:0044444
jg19876	GO:0000151
jg19876	GO:0005737
jg19876	GO:0030529
jg19876	GO:0043231
jg19876	GO:0044444
jg19077	GO:0005737
jg19077	GO:0044444
jg19775	GO:0005618
jg19775	GO:0005737
jg19775	GO:0043231
jg19775	GO:0044444
jg19985	GO:0005737
jg19985	GO:0016021
jg19985	GO:0019866
jg19985	GO:0031968
jg19985	GO:0043231
jg19985	GO:0044444
jg19985	GO:0044455
jg19985	GO:0046930
jg19020	GO:0043231
jg20060	GO:0005618
jg20060	GO:0005737
jg20060	GO:0005794
jg20060	GO:0005829
jg20060	GO:0043231
jg20060	GO:0044444
jg19210	GO:0005737
jg19210	GO:0009579
jg19210	GO:0016021
jg19210	GO:0016469
jg19210	GO:0034357
jg19210	GO:0043231
jg19210	GO:0044436
jg19210	GO:0044444
jg19210	GO:0045259
jg19210	GO:0045263
jg19237	GO:0005635
jg19237	GO:0016021
jg19237	GO:0019866
jg19237	GO:0020009
jg19237	GO:0030529
jg19237	GO:0031301
jg19237	GO:0043231
jg19237	GO:0044453
jg20316	GO:0005737
jg20316	GO:0005794
jg20316	GO:0030117
jg20316	GO:0043231
