Query	GO:EggNOG GO Molecular
jg12421	GO:0032549
jg12421	GO:0032555
jg12421	GO:0035639
jg11532	GO:0001883
jg11532	GO:0004842
jg11532	GO:0016881
jg11532	GO:0017076
jg11532	GO:0032549
jg11532	GO:0032555
jg11532	GO:0035639
jg12347	GO:0003677
jg12347	GO:0046872
jg11833	GO:0016709
jg11833	GO:0042578
jg11833	GO:0046872
jg11833	GO:0050660
jg11833	GO:0050661
jg12362	GO:0016301
jg12362	GO:0016773
jg11791	GO:0015291
jg11636	GO:0003677
jg11636	GO:0046872
jg11700	GO:0008483
jg12212	GO:0003723
jg12212	GO:0016779
jg12212	GO:0046872
jg12212	GO:0070011
jg11965	GO:0016758
jg12575	GO:0003677
jg12035	GO:0003723
jg11859	GO:0001883
jg11859	GO:0003723
jg11859	GO:0008200
jg11859	GO:0008281
jg11859	GO:0010290
jg11859	GO:0015036
jg11859	GO:0015075
jg11859	GO:0015203
jg11859	GO:0015267
jg11859	GO:0015399
jg11859	GO:0015416
jg11859	GO:0015605
jg11859	GO:0016301
jg11859	GO:0016616
jg11859	GO:0016628
jg11859	GO:0016773
jg11859	GO:0016818
jg11859	GO:0016820
jg11859	GO:0017076
jg11859	GO:0019869
jg11859	GO:0022838
jg11859	GO:0032549
jg11859	GO:0032555
jg11859	GO:0035639
jg11859	GO:0042887
jg11859	GO:0043211
jg11859	GO:0046872
jg11859	GO:0051119
jg12275	GO:0003677
jg12275	GO:0003723
jg11496	GO:0016702
jg11622	GO:0001883
jg11622	GO:0016818
jg11622	GO:0017076
jg11622	GO:0032549
jg11622	GO:0032555
jg11622	GO:0035639
jg11703	GO:0016615
jg11703	GO:0016616
jg12036	GO:0001883
jg12036	GO:0017076
jg12036	GO:0032549
jg12036	GO:0032555
jg12036	GO:0035639
jg12036	GO:0046872
jg11996	GO:0004553
jg11730	GO:0016779
jg11388	GO:0016620
jg12584	GO:0003677
jg11518	GO:0001883
jg11518	GO:0008194
jg11518	GO:0016301
jg11518	GO:0016758
jg11518	GO:0016773
jg11518	GO:0016818
jg11518	GO:0017076
jg11518	GO:0032549
jg11518	GO:0032555
jg11518	GO:0035639
jg11518	GO:0046872
jg11884	GO:0016841
jg11455	GO:0046872
jg11769	GO:0016168
jg11769	GO:0046872
jg11738	GO:0016857
jg12589	GO:0016717
jg12589	GO:0042389
jg12156	GO:0004842
jg12156	GO:0016881
jg12289	GO:0016301
jg12289	GO:0016773
jg12513	GO:0004842
jg12513	GO:0016881
jg12264	GO:0046872
jg12424	GO:0001883
jg12424	GO:0015631
jg12424	GO:0016876
jg12424	GO:0017076
jg12424	GO:0032549
jg12424	GO:0032555
jg12424	GO:0035639
jg11581	GO:0019888
jg11581	GO:0042578
jg12294	GO:0046872
jg12294	GO:0051537
jg11677	GO:0001883
jg11677	GO:0016301
jg11677	GO:0016773
jg11677	GO:0017076
jg11677	GO:0032549
jg11677	GO:0032555
jg11677	GO:0035639
jg11784	GO:0016635
jg11784	GO:0016719
jg11864	GO:0016298
jg11864	GO:0042578
jg11864	GO:0046872
jg12446	GO:0016779
jg12446	GO:0046872
jg11789	GO:0003677
jg11838	GO:0001883
jg11838	GO:0005342
jg11838	GO:0008168
jg11838	GO:0015075
jg11838	GO:0015291
jg11838	GO:0015399
jg11838	GO:0016301
jg11838	GO:0016773
jg11838	GO:0016884
jg11838	GO:0017076
jg11838	GO:0032549
jg11838	GO:0032555
jg11838	GO:0035639
jg11838	GO:0046872
jg11838	GO:0080161
jg12569	GO:0016706
jg12569	GO:0016780
jg12569	GO:0031406
jg12569	GO:0031418
jg12569	GO:0046872
jg12471	GO:0020037
jg12471	GO:0046872
jg12594	GO:0042578
jg12594	GO:0046872
jg11614	GO:0001883
jg11614	GO:0017076
jg11614	GO:0032549
jg11614	GO:0032555
jg11614	GO:0035639
jg11614	GO:0046872
jg11865	GO:0016298
jg11865	GO:0042578
jg11865	GO:0046872
jg11886	GO:0016841
jg12159	GO:0003723
jg12159	GO:0004518
jg11954	GO:0004553
jg11954	GO:0016876
jg11954	GO:0046872
jg11663	GO:0004364
jg11663	GO:0031406
jg11663	GO:0046872
jg11663	GO:1900750
jg11959	GO:0046872
jg12437	GO:0004518
jg12437	GO:0070011
jg11693	GO:0046872
jg12058	GO:0001883
jg12058	GO:0008236
jg12058	GO:0016301
jg12058	GO:0016773
jg12058	GO:0017076
jg12058	GO:0032549
jg12058	GO:0032555
jg12058	GO:0035639
jg12058	GO:0042803
jg12058	GO:0070011
jg12295	GO:0004364
jg11475	GO:0008168
jg11417	GO:0003723
jg11417	GO:0016301
jg11417	GO:0016773
jg11417	GO:0016775
jg12176	GO:0003723
jg12176	GO:0046872
jg12080	GO:0001883
jg12080	GO:0003677
jg12080	GO:0016818
jg12080	GO:0017076
jg12080	GO:0032549
jg12080	GO:0032555
jg12080	GO:0035639
jg11454	GO:0046872
jg12402	GO:0003723
jg12402	GO:0016706
jg12402	GO:0016779
jg12402	GO:0019888
jg12402	GO:0042578
jg12402	GO:0046872
jg11687	GO:0016301
jg12132	GO:0015291
jg12132	GO:0046872
jg11494	GO:0016831
jg11494	GO:0046872
jg12047	GO:0016747
jg12373	GO:0045330
jg12373	GO:0052689
jg11932	GO:0003677
jg11932	GO:0046872
jg11545	GO:0003677
jg12322	GO:0001883
jg12322	GO:0003677
jg12322	GO:0016818
jg12322	GO:0017076
jg12322	GO:0032549
jg12322	GO:0032555
jg12322	GO:0035639
jg12521	GO:0016713
jg12521	GO:0020037
jg12521	GO:0046872
jg11489	GO:0003677
jg12113	GO:0046872
jg12113	GO:0051537
jg12400	GO:0003677
jg12279	GO:0003677
jg12279	GO:0003723
jg11697	GO:0001883
jg11697	GO:0017076
jg11697	GO:0032549
jg11697	GO:0032555
jg11697	GO:0035639
jg11604	GO:0043130
jg11604	GO:0070011
jg11604	GO:0070628
jg11964	GO:0004553
jg12491	GO:0001883
jg12491	GO:0003723
jg12491	GO:0016779
jg12491	GO:0016818
jg12491	GO:0017076
jg12491	GO:0032549
jg12491	GO:0032555
jg12491	GO:0035639
jg12491	GO:0046872
jg12574	GO:0016861
jg12255	GO:0003677
jg11667	GO:0001883
jg11667	GO:0003723
jg11667	GO:0016818
jg11667	GO:0017076
jg11667	GO:0032549
jg11667	GO:0032555
jg11667	GO:0035639
jg11692	GO:0004553
jg11949	GO:0046872
jg11410	GO:0005347
jg11410	GO:0015075
jg11410	GO:0015211
jg11410	GO:0015932
jg12149	GO:0003677
jg12417	GO:0001883
jg12417	GO:0015075
jg12417	GO:0015291
jg12417	GO:0016301
jg12417	GO:0016773
jg12417	GO:0017076
jg12417	GO:0032549
jg12417	GO:0032555
jg12417	GO:0035639
jg12475	GO:0015075
jg12475	GO:0015267
jg12475	GO:0017076
jg12475	GO:0022838
jg12475	GO:0030551
jg12475	GO:0030552
jg12475	GO:0030553
jg12475	GO:0032555
jg11682	GO:0004364
jg11682	GO:0031406
jg11682	GO:0046872
jg11682	GO:1900750
jg11426	GO:0030695
jg11639	GO:0001883
jg11639	GO:0017076
jg11639	GO:0032549
jg11639	GO:0032555
jg11639	GO:0035639
jg11668	GO:0046872
jg11721	GO:0035064
jg11721	GO:0046872
jg12151	GO:0001883
jg12151	GO:0016818
jg12151	GO:0017076
jg12151	GO:0032549
jg12151	GO:0032555
jg12151	GO:0035639
jg12151	GO:0046872
jg11908	GO:0001883
jg11908	GO:0016836
jg11908	GO:0017076
jg11908	GO:0032549
jg11908	GO:0032555
jg11908	GO:0035639
jg12137	GO:0001883
jg12137	GO:0016301
jg12137	GO:0016773
jg12137	GO:0017076
jg12137	GO:0032549
jg12137	GO:0032555
jg12137	GO:0035639
jg12110	GO:0019888
jg12108	GO:0001883
jg12108	GO:0016818
jg12108	GO:0017076
jg12108	GO:0032549
jg12108	GO:0032555
jg12108	GO:0035639
jg11910	GO:0008194
jg11910	GO:0016758
jg11402	GO:0003677
jg12042	GO:0001883
jg12042	GO:0016881
jg12042	GO:0017076
jg12042	GO:0032549
jg12042	GO:0032555
jg12042	GO:0035639
jg11412	GO:0004842
jg11412	GO:0016881
jg12019	GO:0003677
jg12438	GO:0001883
jg12438	GO:0016301
jg12438	GO:0016773
jg12438	GO:0017076
jg12438	GO:0032549
jg12438	GO:0032555
jg12438	GO:0035639
jg12494	GO:0016811
jg12494	GO:0051287
jg12494	GO:0070403
jg12229	GO:0003723
jg12191	GO:0015075
jg12191	GO:0015291
jg12469	GO:0008168
jg12161	GO:0004553
jg12161	GO:0016899
jg12161	GO:0046872
jg12499	GO:0015075
jg12499	GO:0015399
jg12499	GO:0016747
jg12499	GO:0016818
jg12499	GO:0016820
jg12546	GO:0016706
jg12546	GO:0016780
jg12546	GO:0031406
jg12546	GO:0031418
jg12546	GO:0046872
jg12407	GO:0003723
jg11771	GO:0003677
jg11771	GO:0016868
jg11771	GO:0046872
jg11729	GO:0016702
jg11729	GO:0016706
jg11729	GO:0046872
jg12245	GO:0042578
jg12245	GO:0046872
jg11579	GO:0001883
jg11579	GO:0003677
jg11579	GO:0016818
jg11579	GO:0017076
jg11579	GO:0032549
jg11579	GO:0032555
jg11579	GO:0035639
jg11579	GO:0046872
jg11643	GO:0046872
jg12609	GO:0001883
jg12609	GO:0017076
jg12609	GO:0032549
jg12609	GO:0032555
jg12609	GO:0035639
jg12378	GO:0042578
jg11724	GO:0003723
jg11724	GO:0042578
jg11724	GO:0046872
jg12573	GO:0008168
jg11722	GO:0031406
jg12157	GO:0001883
jg12157	GO:0016301
jg12157	GO:0016773
jg12157	GO:0017076
jg12157	GO:0032549
jg12157	GO:0032555
jg12157	GO:0035639
jg12602	GO:0008194
jg12602	GO:0016758
jg12602	GO:0042578
jg12163	GO:0016763
jg12114	GO:0003677
jg11578	GO:0004842
jg11578	GO:0016881
jg11578	GO:0046872
jg12374	GO:0046872
jg12625	GO:0001883
jg12625	GO:0008483
jg12625	GO:0016882
jg12625	GO:0017076
jg12625	GO:0032549
jg12625	GO:0032555
jg12625	GO:0035639
jg12625	GO:0046872
jg11523	GO:0030414
jg11523	GO:0061135
jg11414	GO:0003723
jg11414	GO:0016301
jg11414	GO:0016773
jg11414	GO:0016775
jg12206	GO:0001883
jg12206	GO:0016301
jg12206	GO:0016773
jg12206	GO:0017076
jg12206	GO:0032549
jg12206	GO:0032555
jg12206	GO:0035639
jg12140	GO:0016702
jg12140	GO:0046872
jg11948	GO:0046872
jg12049	GO:0001883
jg12049	GO:0016301
jg12049	GO:0016773
jg12049	GO:0017076
jg12049	GO:0032549
jg12049	GO:0032555
jg12049	GO:0035639
jg11816	GO:0016616
jg11720	GO:0004553
jg12386	GO:0001883
jg12386	GO:0016818
jg12386	GO:0017076
jg12386	GO:0032549
jg12386	GO:0032555
jg12386	GO:0035639
jg12386	GO:0070011
jg12520	GO:0004462
jg12520	GO:0008168
jg12520	GO:0008483
jg12520	GO:0016836
jg12520	GO:0031406
jg12520	GO:0046872
jg12104	GO:0016717
jg12104	GO:0042389
jg11997	GO:0001883
jg11997	GO:0003677
jg11997	GO:0016818
jg11997	GO:0017076
jg11997	GO:0032549
jg11997	GO:0032555
jg11997	GO:0035639
jg11638	GO:0004553
jg11638	GO:0016758
jg12008	GO:0016758
jg12197	GO:0003723
jg12197	GO:0008168
jg12458	GO:0001883
jg12458	GO:0015631
jg12458	GO:0016818
jg12458	GO:0017076
jg12458	GO:0032549
jg12458	GO:0032555
jg12458	GO:0035639
jg11953	GO:0003677
jg11953	GO:0015075
jg11953	GO:0015116
jg11536	GO:0008168
jg11536	GO:0046872
jg12612	GO:0001883
jg12612	GO:0016301
jg12612	GO:0016773
jg12612	GO:0017076
jg12612	GO:0032549
jg12612	GO:0032555
jg12612	GO:0035639
jg12062	GO:0001883
jg12062	GO:0003723
jg12062	GO:0015075
jg12062	GO:0016301
jg12062	GO:0016773
jg12062	GO:0017076
jg12062	GO:0032549
jg12062	GO:0032555
jg12062	GO:0035639
jg12062	GO:0046982
jg12460	GO:0001883
jg12460	GO:0003723
jg12460	GO:0016818
jg12460	GO:0017076
jg12460	GO:0032549
jg12460	GO:0032555
jg12460	GO:0035639
jg11487	GO:0003677
jg12346	GO:0016616
jg12346	GO:0016657
jg12346	GO:0046872
jg11947	GO:0005342
jg11947	GO:0015075
jg12371	GO:0046872
jg12440	GO:0046872
jg11482	GO:0001883
jg11482	GO:0016818
jg11482	GO:0017076
jg11482	GO:0032549
jg11482	GO:0032555
jg11482	GO:0035639
jg12578	GO:0003723
jg12134	GO:0003677
jg11878	GO:0003723
jg12069	GO:0046872
jg12099	GO:0008168
jg11447	GO:0004553
jg11447	GO:0046872
jg11447	GO:2001070
jg11998	GO:0004553
jg12007	GO:0003677
jg12150	GO:0001883
jg12150	GO:0003723
jg12150	GO:0010329
jg12150	GO:0015399
jg12150	GO:0016706
jg12150	GO:0016818
jg12150	GO:0016820
jg12150	GO:0017076
jg12150	GO:0031406
jg12150	GO:0031418
jg12150	GO:0032549
jg12150	GO:0032555
jg12150	GO:0035639
jg12150	GO:0046872
jg12150	GO:0080161
jg12182	GO:0003677
jg11772	GO:0003723
jg11772	GO:0004518
jg11772	GO:0046872
jg11911	GO:0003723
jg11950	GO:0008168
jg12419	GO:0001883
jg12419	GO:0016818
jg12419	GO:0017076
jg12419	GO:0032549
jg12419	GO:0032555
jg12419	GO:0035639
jg11452	GO:0003677
jg12409	GO:0046872
jg11633	GO:0001883
jg11633	GO:0016836
jg11633	GO:0017076
jg11633	GO:0032549
jg11633	GO:0032555
jg11633	GO:0035639
jg12059	GO:0004842
jg12059	GO:0016881
jg12059	GO:0046872
jg12227	GO:0008168
jg11691	GO:0003723
jg11691	GO:0045330
jg11691	GO:0052689
jg12442	GO:0016702
jg12442	GO:0046872
jg12030	GO:0004842
jg12030	GO:0016881
jg12535	GO:0003677
jg11516	GO:0016747
jg11516	GO:0046872
jg12160	GO:0003723
jg12160	GO:0016779
jg12160	GO:0046872
jg12041	GO:0001883
jg12041	GO:0016881
jg12041	GO:0017076
jg12041	GO:0032549
jg12041	GO:0032555
jg12041	GO:0035639
jg12076	GO:0003723
jg12076	GO:0016779
jg11458	GO:0046872
jg12152	GO:0003677
jg12487	GO:0016831
jg11750	GO:0003677
jg11847	GO:0042578
jg11847	GO:0046872
jg12172	GO:0001883
jg12172	GO:0008236
jg12172	GO:0017076
jg12172	GO:0032549
jg12172	GO:0032555
jg12172	GO:0035639
jg12172	GO:0070011
jg11531	GO:0001883
jg11531	GO:0017076
jg11531	GO:0032549
jg11531	GO:0032555
jg11531	GO:0035639
jg11531	GO:0046872
jg11892	GO:0003677
jg12422	GO:0000982
jg12422	GO:0001067
jg12422	GO:0001228
jg12422	GO:0001883
jg12422	GO:0003677
jg12422	GO:0004518
jg12422	GO:0005034
jg12422	GO:0005548
jg12422	GO:0008168
jg12422	GO:0008483
jg12422	GO:0009883
jg12422	GO:0009884
jg12422	GO:0015075
jg12422	GO:0015267
jg12422	GO:0015399
jg12422	GO:0016301
jg12422	GO:0016773
jg12422	GO:0016775
jg12422	GO:0016818
jg12422	GO:0016820
jg12422	GO:0017076
jg12422	GO:0019199
jg12422	GO:0020037
jg12422	GO:0022838
jg12422	GO:0032549
jg12422	GO:0032555
jg12422	GO:0035639
jg12422	GO:0042578
jg12422	GO:0046872
jg12422	GO:0052689
jg12422	GO:0070011
jg12318	GO:0016298
jg12318	GO:0020037
jg12318	GO:0046872
jg11423	GO:0004842
jg11423	GO:0016881
jg12074	GO:0008168
jg12211	GO:0003723
jg12211	GO:0016779
jg12211	GO:0046872
jg12211	GO:0070011
jg11839	GO:0004553
jg11978	GO:0047066
jg11811	GO:0003677
jg11811	GO:0016779
jg11882	GO:0003723
jg11882	GO:0008194
jg11882	GO:0016301
jg11882	GO:0016758
jg11882	GO:0016779
jg12381	GO:0016615
jg12381	GO:0016616
jg12298	GO:0003723
jg12550	GO:0046872
jg12055	GO:0008236
jg12055	GO:0070011
jg12268	GO:0001883
jg12268	GO:0004518
jg12268	GO:0016301
jg12268	GO:0016773
jg12268	GO:0017076
jg12268	GO:0032549
jg12268	GO:0032555
jg12268	GO:0035639
jg12268	GO:0046872
jg12021	GO:0001883
jg12021	GO:0003723
jg12021	GO:0016818
jg12021	GO:0017076
jg12021	GO:0032549
jg12021	GO:0032555
jg12021	GO:0035639
jg12239	GO:0003677
jg12239	GO:0003723
jg12239	GO:0003906
jg12239	GO:0004518
jg12239	GO:0016799
jg12239	GO:0051539
jg11858	GO:0001883
jg11858	GO:0003723
jg11858	GO:0008200
jg11858	GO:0008281
jg11858	GO:0010290
jg11858	GO:0015036
jg11858	GO:0015075
jg11858	GO:0015203
jg11858	GO:0015267
jg11858	GO:0015399
jg11858	GO:0015416
jg11858	GO:0015605
jg11858	GO:0016301
jg11858	GO:0016616
jg11858	GO:0016628
jg11858	GO:0016773
jg11858	GO:0016818
jg11858	GO:0016820
jg11858	GO:0017076
jg11858	GO:0019869
jg11858	GO:0022838
jg11858	GO:0032549
jg11858	GO:0032555
jg11858	GO:0035639
jg11858	GO:0042887
jg11858	GO:0043211
jg11858	GO:0046872
jg11858	GO:0051119
jg12501	GO:0008194
jg12501	GO:0016758
jg12501	GO:0046872
jg11927	GO:0001883
jg11927	GO:0003677
jg11927	GO:0016818
jg11927	GO:0017076
jg11927	GO:0032549
jg11927	GO:0032555
jg11927	GO:0035639
jg11927	GO:0046872
jg11587	GO:0001883
jg11587	GO:0003677
jg11587	GO:0003723
jg11587	GO:0004518
jg11587	GO:0016779
jg11587	GO:0017076
jg11587	GO:0032549
jg11587	GO:0032555
jg11587	GO:0035639
jg11587	GO:0046872
jg11587	GO:0070011
jg12590	GO:0016747
jg12590	GO:0016790
jg12590	GO:0044620
jg11970	GO:0003677
jg11970	GO:0004518
jg11970	GO:0046872
jg12201	GO:0030695
jg11780	GO:0003677
jg11780	GO:0046872
jg11936	GO:0001883
jg11936	GO:0008483
jg11936	GO:0016301
jg11936	GO:0016747
jg11936	GO:0016773
jg11936	GO:0016831
jg11936	GO:0016832
jg11936	GO:0016861
jg11936	GO:0017076
jg11936	GO:0032549
jg11936	GO:0032555
jg11936	GO:0035639
jg11936	GO:0046872
jg11504	GO:0003677
jg11504	GO:0004518
jg11504	GO:0016298
jg11504	GO:0016747
jg11504	GO:0046872
jg11504	GO:0051537
jg11504	GO:0052689
jg12580	GO:0042578
jg11843	GO:0003677
jg11760	GO:0016628
jg11760	GO:0016726
jg11760	GO:0046872
jg12621	GO:0046872
jg11645	GO:0001883
jg11645	GO:0017076
jg11645	GO:0032549
jg11645	GO:0032555
jg11645	GO:0035639
jg11645	GO:0046872
jg12173	GO:0008168
jg12046	GO:0001883
jg12046	GO:0016301
jg12046	GO:0016773
jg12046	GO:0017076
jg12046	GO:0032549
jg12046	GO:0032555
jg12046	GO:0035639
jg12332	GO:0046872
jg12332	GO:0050660
jg11863	GO:0004518
jg11863	GO:0016812
jg11863	GO:0046872
jg11422	GO:0004842
jg11422	GO:0016881
jg12240	GO:0046872
jg12399	GO:0035091
jg12399	GO:0046872
jg11714	GO:0001883
jg11714	GO:0003723
jg11714	GO:0017076
jg11714	GO:0032549
jg11714	GO:0032555
jg11714	GO:0035639
jg11714	GO:0043022
jg11582	GO:0003677
jg12540	GO:0005342
jg12540	GO:0015075
jg12540	GO:0015267
jg12540	GO:0042803
jg11757	GO:0001883
jg11757	GO:0016301
jg11757	GO:0016773
jg11757	GO:0017076
jg11757	GO:0032549
jg11757	GO:0032555
jg11757	GO:0035639
jg11883	GO:0016671
jg11405	GO:0004842
jg11405	GO:0016881
jg12410	GO:0046872
jg12375	GO:0003723
jg12375	GO:0016779
jg11590	GO:0004657
jg11590	GO:0046872
jg11767	GO:0003677
jg11767	GO:0004553
jg11767	GO:0008236
jg11767	GO:0016747
jg11767	GO:0016832
jg11767	GO:0070011
jg12248	GO:0052689
jg11916	GO:0020037
jg11916	GO:0046872
jg11867	GO:0015631
jg12553	GO:0016301
jg12553	GO:0016773
jg11809	GO:0000095
jg11809	GO:0004842
jg11809	GO:0005342
jg11809	GO:0015075
jg11809	GO:0015211
jg11809	GO:0015932
jg11809	GO:0016802
jg11809	GO:0016881
jg11809	GO:0046872
jg12177	GO:0001067
jg12177	GO:0003677
jg11655	GO:0016641
jg11655	GO:0046872
jg12253	GO:0003677
jg11621	GO:0001883
jg11621	GO:0016818
jg11621	GO:0017076
jg11621	GO:0032549
jg11621	GO:0032555
jg11621	GO:0035639
jg11416	GO:0003723
jg11416	GO:0016301
jg11416	GO:0016773
jg11416	GO:0016775
jg11748	GO:0020037
jg11748	GO:0046872
jg123	GO:0016682
jg123	GO:0046872
jg122	GO:0046872
jg127	GO:0001883
jg127	GO:0016301
jg127	GO:0016616
jg127	GO:0016774
jg127	GO:0017076
jg127	GO:0031406
jg127	GO:0032549
jg127	GO:0032555
jg127	GO:0035639
jg127	GO:0050661
jg15398	GO:0001883
jg15398	GO:0003677
jg15398	GO:0004518
jg15398	GO:0016818
jg15398	GO:0017076
jg15398	GO:0032549
jg15398	GO:0032555
jg15398	GO:0035639
jg7	GO:0001883
jg7	GO:0016301
jg7	GO:0016773
jg7	GO:0017076
jg7	GO:0032549
jg7	GO:0032555
jg7	GO:0035639
jg8	GO:0001883
jg8	GO:0016301
jg8	GO:0016773
jg8	GO:0017076
jg8	GO:0032549
jg8	GO:0032555
jg8	GO:0035639
jg35221	GO:0001883
jg35221	GO:0017076
jg35221	GO:0032549
jg35221	GO:0032555
jg35221	GO:0035639
jg35221	GO:0046872
jg35220	GO:0001883
jg35220	GO:0017076
jg35220	GO:0032549
jg35220	GO:0032555
jg35220	GO:0035639
jg35220	GO:0046872
jg7445	GO:0001883
jg7445	GO:0016818
jg7445	GO:0016876
jg7445	GO:0017076
jg7445	GO:0032549
jg7445	GO:0032555
jg7445	GO:0035639
jg7439	GO:0015075
jg7441	GO:0001883
jg7441	GO:0003723
jg7441	GO:0016818
jg7441	GO:0017076
jg7441	GO:0032549
jg7441	GO:0032555
jg7441	GO:0035639
jg7441	GO:0046872
jg19036	GO:0016818
jg19036	GO:0042578
jg19036	GO:0046872
jg19576	GO:0001883
jg19576	GO:0003677
jg19576	GO:0016818
jg19576	GO:0017076
jg19576	GO:0032549
jg19576	GO:0032555
jg19576	GO:0035639
jg19576	GO:0046872
jg18918	GO:0070011
jg19825	GO:0001883
jg19825	GO:0016301
jg19825	GO:0016773
jg19825	GO:0017076
jg19825	GO:0032549
jg19825	GO:0032555
jg19825	GO:0035639
jg19304	GO:0000104
jg19304	GO:0016671
jg19304	GO:0016862
jg19304	GO:0016864
jg19304	GO:0020037
jg19304	GO:0046872
jg19304	GO:0050660
jg19166	GO:0001883
jg19166	GO:0003723
jg19166	GO:0015075
jg19166	GO:0016676
jg19166	GO:0016818
jg19166	GO:0017076
jg19166	GO:0032549
jg19166	GO:0032555
jg19166	GO:0035639
jg19623	GO:0003723
jg19623	GO:0009982
jg126	GO:0001883
jg126	GO:0016301
jg126	GO:0016616
jg126	GO:0016774
jg126	GO:0017076
jg126	GO:0031406
jg126	GO:0032549
jg126	GO:0032555
jg126	GO:0035639
jg126	GO:0050661
jg18933	GO:0003677
jg18871	GO:0003677
jg19672	GO:0001883
jg19672	GO:0016301
jg19672	GO:0016831
jg19672	GO:0017076
jg19672	GO:0032549
jg19672	GO:0032555
jg19672	GO:0035639
jg12038	GO:0046872
jg20053	GO:0001104
jg19849	GO:0016747
jg19737	GO:0003677
jg19203	GO:0003677
jg19203	GO:0003723
jg19203	GO:0046872
jg19254	GO:0031406
jg19186	GO:0046872
jg19213	GO:0001883
jg19213	GO:0015075
jg19213	GO:0015267
jg19213	GO:0016301
jg19213	GO:0016773
jg19213	GO:0017076
jg19213	GO:0022838
jg19213	GO:0032549
jg19213	GO:0032555
jg19213	GO:0035639
jg20057	GO:0001883
jg20057	GO:0003677
jg20057	GO:0016818
jg20057	GO:0017076
jg20057	GO:0032549
jg20057	GO:0032555
jg20057	GO:0035639
jg20229	GO:0004842
jg20229	GO:0016881
jg20229	GO:0046872
jg20191	GO:0001883
jg20191	GO:0016301
jg20191	GO:0016773
jg20191	GO:0017076
jg20191	GO:0032549
jg20191	GO:0032555
jg20191	GO:0035639
jg19700	GO:0001883
jg19700	GO:0016301
jg19700	GO:0016616
jg19700	GO:0016774
jg19700	GO:0017076
jg19700	GO:0031406
jg19700	GO:0032549
jg19700	GO:0032555
jg19700	GO:0035639
jg19700	GO:0050661
jg20133	GO:0003677
jg19207	GO:0003677
jg19207	GO:0003723
jg19207	GO:0046872
jg18902	GO:0001883
jg18902	GO:0016818
jg18902	GO:0017076
jg18902	GO:0032549
jg18902	GO:0032555
jg18902	GO:0035639
jg12377	GO:0003677
jg12003	GO:0046872
jg19121	GO:0000982
jg19121	GO:0001067
jg19121	GO:0001228
jg19121	GO:0001883
jg19121	GO:0003677
jg19121	GO:0004518
jg19121	GO:0005034
jg19121	GO:0005548
jg19121	GO:0008168
jg19121	GO:0008483
jg19121	GO:0009883
jg19121	GO:0009884
jg19121	GO:0015075
jg19121	GO:0015267
jg19121	GO:0015399
jg19121	GO:0016301
jg19121	GO:0016773
jg19121	GO:0016775
jg19121	GO:0016818
jg19121	GO:0016820
jg19121	GO:0017076
jg19121	GO:0019199
jg19121	GO:0020037
jg19121	GO:0022838
jg19121	GO:0032549
jg19121	GO:0032555
jg19121	GO:0035639
jg19121	GO:0042578
jg19121	GO:0046872
jg19121	GO:0052689
jg19121	GO:0070011
jg19733	GO:0001883
jg19733	GO:0016818
