Query	GO:EggNOG GO Biological
jg30475	GO:0000278
jg30475	GO:0000910
jg30475	GO:0002366
jg30475	GO:0002444
jg30475	GO:0006259
jg30475	GO:0006869
jg30475	GO:0006887
jg30475	GO:0006888
jg30475	GO:0006909
jg30475	GO:0007009
jg30475	GO:0007018
jg30475	GO:0007033
jg30475	GO:0007034
jg30475	GO:0008333
jg30475	GO:0009059
jg30475	GO:0009651
jg30475	GO:0009737
jg30475	GO:0009832
jg30475	GO:0010324
jg30475	GO:0015031
jg30475	GO:0016050
jg30475	GO:0016192
jg30475	GO:0016197
jg30475	GO:0016482
jg30475	GO:0022402
jg30475	GO:0032506
jg30475	GO:0032880
jg30475	GO:0033993
jg30475	GO:0034613
jg30475	GO:0034645
jg30475	GO:0036230
jg30475	GO:0045184
jg30475	GO:0046903
jg30475	GO:0046909
jg30475	GO:0048284
jg30475	GO:0048285
jg30475	GO:0051049
jg30475	GO:0051128
jg30475	GO:0060341
jg30475	GO:0061025
jg30475	GO:0065003
jg30475	GO:0071702
jg30475	GO:0071822
jg30475	GO:0072657
jg30475	GO:0090304
jg30475	GO:0097305
jg35230	GO:0010038
jg35230	GO:0043085
jg35230	GO:0044267
jg35230	GO:0051341
jg30398	GO:0005996
jg30398	GO:0006796
jg30398	GO:0009267
jg30398	GO:0009814
jg30398	GO:0010038
jg30398	GO:0016051
jg30398	GO:0031667
jg30398	GO:0031669
jg30398	GO:0051707
jg12244	GO:0006631
jg12244	GO:0008610
jg12244	GO:0016053
jg12244	GO:0043436
jg12244	GO:0044283
jg11708	GO:0009889
jg11708	GO:0031323
jg11708	GO:0051171
jg11708	GO:0060255
jg11708	GO:0080090
jg12390	GO:0009059
jg12390	GO:0009100
jg12390	GO:0022402
jg12390	GO:0034645
jg12390	GO:0036211
jg12390	GO:0043412
jg12390	GO:0043413
jg12390	GO:0044267
jg12390	GO:0048523
jg12390	GO:0051128
jg12390	GO:0051726
jg12390	GO:1901137
jg12544	GO:0009737
jg12544	GO:0015031
jg12544	GO:0016192
jg12544	GO:0032870
jg12544	GO:0033993
jg12544	GO:0034613
jg12544	GO:0045184
jg12544	GO:0071310
jg12544	GO:0071702
jg12544	GO:0097305
jg12544	GO:1901701
jg12496	GO:0006753
jg12496	GO:0006796
jg12496	GO:0009116
jg12496	GO:0009657
jg12496	GO:0009790
jg12496	GO:0009791
jg12496	GO:0019439
jg12496	GO:0019693
jg12496	GO:0031163
jg12496	GO:0034655
jg12496	GO:0044270
jg12496	GO:0046434
jg12496	GO:0046700
jg12496	GO:0048731
jg12496	GO:0055085
jg12496	GO:0072521
jg12496	GO:1901136
jg12496	GO:1901292
jg12496	GO:1901361
jg12496	GO:1901565
jg12496	GO:1901658
jg12485	GO:0009059
jg12485	GO:0010467
jg12485	GO:0034645
jg12485	GO:0044267
jg11554	GO:0009059
jg11554	GO:0009889
jg11554	GO:0010467
jg11554	GO:0016070
jg11554	GO:0018130
jg11554	GO:0019438
jg11554	GO:0031323
jg11554	GO:0034645
jg11554	GO:0034654
jg11554	GO:0044271
jg11554	GO:0048513
jg11554	GO:0048731
jg11554	GO:0051171
jg11554	GO:0060255
jg11554	GO:0080090
jg11554	GO:0090304
jg11554	GO:1901362
jg12358	GO:0016042
jg12251	GO:0001508
jg12251	GO:0002164
jg12251	GO:0006508
jg12251	GO:0006631
jg12251	GO:0006643
jg12251	GO:0006644
jg12251	GO:0006665
jg12251	GO:0006753
jg12251	GO:0006796
jg12251	GO:0007009
jg12251	GO:0008544
jg12251	GO:0008610
jg12251	GO:0009116
jg12251	GO:0009791
jg12251	GO:0010038
jg12251	GO:0010941
jg12251	GO:0014070
jg12251	GO:0016042
jg12251	GO:0016053
jg12251	GO:0016054
jg12251	GO:0019226
jg12251	GO:0019439
jg12251	GO:0019693
jg12251	GO:0030154
jg12251	GO:0030258
jg12251	GO:0031667
jg12251	GO:0033993
jg12251	GO:0034440
jg12251	GO:0034655
jg12251	GO:0040009
jg12251	GO:0040014
jg12251	GO:0042127
jg12251	GO:0043436
jg12251	GO:0044242
jg12251	GO:0044270
jg12251	GO:0044282
jg12251	GO:0044283
jg12251	GO:0045927
jg12251	GO:0046434
jg12251	GO:0046700
jg12251	GO:0048513
jg12251	GO:0048523
jg12251	GO:0048545
jg12251	GO:0048731
jg12251	GO:0051240
jg12251	GO:0060429
jg12251	GO:0065003
jg12251	GO:0071241
jg12251	GO:0071822
jg12251	GO:0072521
jg12251	GO:1901136
jg12251	GO:1901292
jg12251	GO:1901361
jg12251	GO:1901565
jg12251	GO:1901658
jg12251	GO:1990170
jg12622	GO:0009059
jg12622	GO:0009889
jg12622	GO:0010467
jg12622	GO:0016070
jg12622	GO:0018130
jg12622	GO:0019438
jg12622	GO:0031323
jg12622	GO:0034645
jg12622	GO:0034654
jg12622	GO:0044271
jg12622	GO:0048229
jg12622	GO:0051171
jg12622	GO:0060255
jg12622	GO:0080090
jg12622	GO:0090304
jg12622	GO:1901362
jg12486	GO:0009059
jg12486	GO:0010467
jg12486	GO:0034645
jg12486	GO:0044267
jg11623	GO:0007033
jg11623	GO:0009267
jg11623	GO:0009651
jg11623	GO:0010260
jg11623	GO:0012501
jg11623	GO:0031667
jg11623	GO:0031669
jg11623	GO:0048513
jg11623	GO:0048731
jg11623	GO:0048827
jg11623	GO:0051707
jg11623	GO:0070925
jg11726	GO:0000302
jg11726	GO:0034599
jg11726	GO:0042542
jg11726	GO:0042743
jg11726	GO:0042744
jg11726	GO:0051707
jg11726	GO:1901701
jg12015	GO:0009059
jg12015	GO:0009889
jg12015	GO:0009893
jg12015	GO:0010200
jg12015	GO:0010467
jg12015	GO:0016070
jg12015	GO:0018130
jg12015	GO:0019438
jg12015	GO:0031323
jg12015	GO:0034645
jg12015	GO:0034654
jg12015	GO:0044271
jg12015	GO:0048522
jg12015	GO:0051171
jg12015	GO:0060255
jg12015	GO:0080090
jg12015	GO:0090304
jg12015	GO:1901362
jg12020	GO:0006720
jg12020	GO:0006732
jg12020	GO:0008299
jg12020	GO:0008610
jg12020	GO:0009790
jg12020	GO:0042181
jg12020	GO:0044283
jg12020	GO:0051188
jg12020	GO:1901661
jg12291	GO:0048285
jg11924	GO:0000910
jg11924	GO:0006887
jg11924	GO:0006909
jg11924	GO:0014070
jg11924	GO:0014074
jg11924	GO:0016192
jg11924	GO:0022402
jg11924	GO:0030031
jg11924	GO:0031268
jg11924	GO:0031667
jg11924	GO:0032970
jg11924	GO:0046683
jg11924	GO:0046903
jg11924	GO:0048513
jg11924	GO:0048522
jg11924	GO:0048731
jg11924	GO:0051128
jg11924	GO:0051591
jg12388	GO:0065003
jg12388	GO:0071822
jg12233	GO:0009889
jg12233	GO:0031323
jg12233	GO:0051171
jg12233	GO:0060255
jg12233	GO:0080090
jg12500	GO:0006753
jg12500	GO:0006796
jg12500	GO:0006811
jg12500	GO:0006818
jg12500	GO:0007030
jg12500	GO:0009116
jg12500	GO:0009651
jg12500	GO:0009790
jg12500	GO:0009791
jg12500	GO:0009832
jg12500	GO:0019439
jg12500	GO:0019693
jg12500	GO:0034655
jg12500	GO:0044270
jg12500	GO:0046434
jg12500	GO:0046700
jg12500	GO:0048731
jg12500	GO:0051707
jg12500	GO:0055085
jg12500	GO:0072521
jg12500	GO:1901136
jg12500	GO:1901292
jg12500	GO:1901361
jg12500	GO:1901565
jg12500	GO:1901658
jg12421	GO:0006796
jg12421	GO:0036211
jg12421	GO:0043412
jg12421	GO:0044267
jg12421	GO:0090304
jg11532	GO:0006508
jg11532	GO:0009057
jg11532	GO:0009739
jg11532	GO:0009887
jg11532	GO:0009965
jg11532	GO:0010016
jg11532	GO:0030163
jg11532	GO:0033993
jg11532	GO:0036211
jg11532	GO:0043412
jg11532	GO:0044265
jg11532	GO:0044267
jg11532	GO:0048513
jg11532	GO:0048731
jg11532	GO:0048827
jg11532	GO:0051093
jg11532	GO:0051241
jg11532	GO:2000026
jg11532	GO:2000242
jg12347	GO:0009059
jg12347	GO:0009733
jg12347	GO:0009791
jg12347	GO:0009889
jg12347	GO:0010467
jg12347	GO:0016070
jg12347	GO:0018130
jg12347	GO:0019438
jg12347	GO:0031323
jg12347	GO:0032870
jg12347	GO:0034645
jg12347	GO:0034654
jg12347	GO:0044271
jg12347	GO:0048731
jg12347	GO:0051171
jg12347	GO:0060255
jg12347	GO:0071310
jg12347	GO:0080090
jg12347	GO:0090304
jg12347	GO:1901362
jg11833	GO:0006796
jg11833	GO:0080090
jg12362	GO:0006259
jg12362	GO:0006796
jg12362	GO:0090304
jg11791	GO:0006508
jg11791	GO:0009057
jg11791	GO:0009059
jg11791	GO:0010467
jg11791	GO:0015748
jg11791	GO:0030163
jg11791	GO:0034645
jg11791	GO:0044265
jg11791	GO:0044267
jg11791	GO:0044375
jg11791	GO:0051181
jg11791	GO:0055085
jg11791	GO:0071702
jg11791	GO:0071705
jg11700	GO:0007389
jg11700	GO:0009630
jg11700	GO:0009683
jg11700	GO:0009723
jg11700	GO:0009790
jg11700	GO:0009791
jg11700	GO:0009851
jg11700	GO:0010015
jg11700	GO:0010074
jg11700	GO:0010087
jg11700	GO:0010588
jg11700	GO:0016053
jg11700	GO:0018130
jg11700	GO:0019438
jg11700	GO:0030154
jg11700	GO:0042430
jg11700	GO:0043436
jg11700	GO:0044271
jg11700	GO:0044283
jg11700	GO:0048507
jg11700	GO:0048513
jg11700	GO:0048523
jg11700	GO:0048731
jg11700	GO:0048827
jg11700	GO:0051093
jg11700	GO:0051707
jg11700	GO:1901362
jg11700	GO:1901566
jg12212	GO:0006259
jg12212	GO:0006508
jg12212	GO:0009059
jg12212	GO:0034645
jg12212	GO:0090304
jg11965	GO:0009059
jg11965	GO:0009100
jg11965	GO:0034645
jg11965	GO:0036211
jg11965	GO:0043412
jg11965	GO:0043413
jg11965	GO:0044267
jg11965	GO:1901137
jg12530	GO:0006778
jg12530	GO:0009057
jg12530	GO:0015996
jg12530	GO:0019439
jg12530	GO:0030163
jg12530	GO:0033013
jg12530	GO:0044265
jg12530	GO:0044267
jg12530	GO:0044270
jg12530	GO:0046149
jg12530	GO:0046700
jg12530	GO:0051187
jg12530	GO:1901361
jg12530	GO:1901565
jg12035	GO:0010467
jg12035	GO:0016070
jg12035	GO:0090304
jg11875	GO:0009651
jg11859	GO:0002164
jg11859	GO:0002679
jg11859	GO:0002685
jg11859	GO:0003018
jg11859	GO:0006022
jg11859	GO:0006066
jg11859	GO:0006753
jg11859	GO:0006796
jg11859	GO:0006811
jg11859	GO:0006869
jg11859	GO:0006887
jg11859	GO:0007389
jg11859	GO:0007589
jg11859	GO:0007599
jg11859	GO:0008015
jg11859	GO:0008202
jg11859	GO:0008610
jg11859	GO:0008643
jg11859	GO:0009059
jg11859	GO:0009116
jg11859	GO:0009651
jg11859	GO:0009791
jg11859	GO:0010038
jg11859	GO:0010259
jg11859	GO:0010467
jg11859	GO:0014070
jg11859	GO:0015716
jg11859	GO:0015748
jg11859	GO:0015846
jg11859	GO:0015849
jg11859	GO:0015850
jg11859	GO:0015893
jg11859	GO:0016125
jg11859	GO:0016192
jg11859	GO:0019439
jg11859	GO:0019693
jg11859	GO:0030154
jg11859	GO:0030324
jg11859	GO:0032101
jg11859	GO:0032870
jg11859	GO:0033993
jg11859	GO:0034097
jg11859	GO:0034645
jg11859	GO:0034655
jg11859	GO:0035150
jg11859	GO:0035295
jg11859	GO:0036293
jg11859	GO:0040009
jg11859	GO:0040017
jg11859	GO:0042044
jg11859	GO:0042060
jg11859	GO:0042127
jg11859	GO:0042335
jg11859	GO:0042908
jg11859	GO:0043434
jg11859	GO:0044057
jg11859	GO:0044267
jg11859	GO:0044270
jg11859	GO:0044283
jg11859	GO:0045454
jg11859	GO:0045927
jg11859	GO:0046434
jg11859	GO:0046700
jg11859	GO:0046835
jg11859	GO:0046903
jg11859	GO:0048513
jg11859	GO:0048522
jg11859	GO:0048545
jg11859	GO:0048731
jg11859	GO:0048878
jg11859	GO:0050920
jg11859	GO:0051156
jg11859	GO:0051180
jg11859	GO:0051181
jg11859	GO:0051240
jg11859	GO:0051270
jg11859	GO:0051707
jg11859	GO:0055082
jg11859	GO:0055085
jg11859	GO:0070633
jg11859	GO:0071310
jg11859	GO:0071702
jg11859	GO:0071705
jg11859	GO:0072521
jg11859	GO:1901136
jg11859	GO:1901137
jg11859	GO:1901292
jg11859	GO:1901361
jg11859	GO:1901362
jg11859	GO:1901565
jg11859	GO:1901566
jg11859	GO:1901617
jg11859	GO:1901652
jg11859	GO:1901658
jg11859	GO:2000145
jg12275	GO:0009059
jg12275	GO:0009889
jg12275	GO:0010467
jg12275	GO:0016070
jg12275	GO:0031323
jg12275	GO:0034645
jg12275	GO:0044267
jg12275	GO:0046740
jg12275	GO:0051701
jg12275	GO:0051707
jg12275	GO:0052192
jg12275	GO:0060255
jg12275	GO:0080090
jg12275	GO:0090304
jg11496	GO:0007281
jg11496	GO:0007286
jg11496	GO:0009063
jg11496	GO:0009072
jg11496	GO:0015031
jg11496	GO:0016054
jg11496	GO:0016192
jg11496	GO:0019439
jg11496	GO:0030154
jg11496	GO:0034613
jg11496	GO:0043436
jg11496	GO:0044267
jg11496	GO:0044282
jg11496	GO:0045184
jg11496	GO:0060429
jg11496	GO:0071702
jg11496	GO:1901361
jg11496	GO:1901565
jg11496	GO:1901605
jg11703	GO:0043436
jg11703	GO:0045333
jg11876	GO:0007010
jg11996	GO:0005996
jg12166	GO:0007010
jg12166	GO:0009856
jg12166	GO:0009860
jg12166	GO:0030036
jg12166	GO:0030154
jg12166	GO:0032989
jg12166	GO:0048588
jg12166	GO:0048868
jg11730	GO:0006644
jg11730	GO:0006796
jg11730	GO:0008610
jg11730	GO:0008654
jg11730	GO:0045017
jg11730	GO:0046486
jg11730	GO:0090407
jg11508	GO:0044267
jg11518	GO:0001558
jg11518	GO:0006753
jg11518	GO:0006796
jg11518	GO:0009059
jg11518	GO:0009100
jg11518	GO:0009116
jg11518	GO:0009651
jg11518	GO:0009737
jg11518	GO:0010119
jg11518	GO:0019439
jg11518	GO:0019693
jg11518	GO:0022603
jg11518	GO:0032870
jg11518	GO:0033993
jg11518	GO:0034645
jg11518	GO:0034655
jg11518	GO:0036211
jg11518	GO:0043412
jg11518	GO:0043413
jg11518	GO:0044267
jg11518	GO:0044270
jg11518	GO:0046434
jg11518	GO:0046700
jg11518	GO:0048638
jg11518	GO:0051049
jg11518	GO:0051128
jg11518	GO:0071310
jg11518	GO:0072521
jg11518	GO:0097305
jg11518	GO:1901136
jg11518	GO:1901137
jg11518	GO:1901292
jg11518	GO:1901361
jg11518	GO:1901565
jg11518	GO:1901658
jg11518	GO:1901701
jg11884	GO:0009063
jg11884	GO:0009072
jg11884	GO:0009416
jg11884	GO:0009699
jg11884	GO:0009803
jg11884	GO:0009808
jg11884	GO:0009819
jg11884	GO:0016053
jg11884	GO:0016054
jg11884	GO:0019438
jg11884	GO:0019439
jg11884	GO:0042537
jg11884	GO:0043436
jg11884	GO:0044282
jg11884	GO:0044283
jg11884	GO:0044550
jg11884	GO:0046271
jg11884	GO:0048229
jg11884	GO:1901361
jg11884	GO:1901362
jg11884	GO:1901565
jg11884	GO:1901605
jg11884	GO:1901616
jg11799	GO:0016042
jg12445	GO:0000226
jg12445	GO:0007010
jg12445	GO:0007389
jg12445	GO:0031122
jg12445	GO:0051707
jg12445	GO:0071822
jg11769	GO:0009416
jg11769	GO:0009743
jg11769	GO:0019684
jg11769	GO:0036211
jg11769	GO:0043412
jg11769	GO:0044267
jg11738	GO:0005976
jg11738	GO:0005996
jg11738	GO:0006753
jg11738	GO:0006796
jg11738	GO:0009059
jg11738	GO:0009225
jg11738	GO:0009832
jg11738	GO:0016051
jg11738	GO:0018130
jg11738	GO:0019438
jg11738	GO:0033356
jg11738	GO:0033692
jg11738	GO:0034637
jg11738	GO:0034645
jg11738	GO:0034654
jg11738	GO:0044264
jg11738	GO:0044271
jg11738	GO:0045230
jg11738	GO:0090407
jg11738	GO:1901137
jg11738	GO:1901293
jg11738	GO:1901362
jg12589	GO:0006631
jg12589	GO:0008610
jg12589	GO:0009416
jg12589	GO:0009892
jg12589	GO:0016053
jg12589	GO:0031323
jg12589	GO:0043436
jg12589	GO:0044283
jg12589	GO:0048523
jg12156	GO:0006508
jg12156	GO:0009057
jg12156	GO:0030163
jg12156	GO:0036211
jg12156	GO:0043412
jg12156	GO:0044265
jg12156	GO:0044267
jg12289	GO:0006066
jg12289	GO:0006720
jg12289	GO:0006766
jg12289	GO:0006796
jg12289	GO:0009110
jg12289	GO:0009737
jg12289	GO:0009791
jg12289	GO:0010189
jg12289	GO:0018130
jg12289	GO:0033993
jg12289	GO:0042362
jg12289	GO:0044283
jg12289	GO:0048513
jg12289	GO:0048731
jg12289	GO:0048827
jg12289	GO:0097305
jg12289	GO:1901362
jg12513	GO:0036211
jg12513	GO:0043412
jg12513	GO:0044267
jg12264	GO:0005513
jg12264	GO:0010038
jg12264	GO:0035556
jg12264	GO:0048878
jg12424	GO:0000226
jg12424	GO:0000910
jg12424	GO:0006997
jg12424	GO:0007010
jg12424	GO:0022402
jg12424	GO:0031122
jg12424	GO:0045454
jg12424	GO:0048285
jg12424	GO:0071822
jg12383	GO:0009059
jg12383	GO:0010467
jg12383	GO:0034645
jg12383	GO:0044267
jg12121	GO:0009889
jg12121	GO:0031323
jg12121	GO:0051171
jg12121	GO:0060255
jg12121	GO:0080090
jg12023	GO:0009059
jg12023	GO:0010467
jg12023	GO:0034645
jg12023	GO:0044267
jg11581	GO:0006796
jg11581	GO:0009723
jg11581	GO:0009733
jg11581	GO:0009737
jg11581	GO:0009914
jg11581	GO:0009966
jg11581	GO:0010038
jg11581	GO:0010119
jg11581	GO:0010646
jg11581	GO:0023056
jg11581	GO:0031323
jg11581	GO:0032870
jg11581	GO:0033993
jg11581	GO:0048522
jg11581	GO:0048584
jg11581	GO:0060255
jg11581	GO:0071310
jg11581	GO:0080090
jg11581	GO:0097305
jg11581	GO:1901701
jg11921	GO:0015031
jg11921	GO:0034613
jg11921	GO:0045184
jg11921	GO:0071702
jg11677	GO:0006796
jg11677	GO:0036211
jg11677	GO:0043412
jg11677	GO:0044267
jg11784	GO:0006720
jg11784	GO:0008299
jg11784	GO:0008610
jg11784	GO:0046148
jg11864	GO:0006066
jg11864	GO:0006644
jg11864	GO:0006796
jg11864	GO:0009308
jg11864	GO:0009966
jg11864	GO:0010119
jg11864	GO:0010646
jg11864	GO:0012501
jg11864	GO:0016042
jg11864	GO:0023056
jg11864	GO:0044106
jg11864	GO:0046470
jg11864	GO:0046486
jg11864	GO:0048522
jg11864	GO:0048584
jg12446	GO:0005996
jg12446	GO:0010646
jg12446	GO:0032101
jg12446	GO:0048522
jg12446	GO:0048584
jg12446	GO:0080134
jg12446	GO:0080135
jg11789	GO:0009889
jg11789	GO:0031323
jg11789	GO:0051171
jg11789	GO:0060255
jg11789	GO:0080090
jg11838	GO:0006325
jg11838	GO:0006479
jg11838	GO:0006796
jg11838	GO:0006811
jg11838	GO:0007031
jg11838	GO:0007164
jg11838	GO:0007389
jg11838	GO:0008544
jg11838	GO:0009630
jg11838	GO:0009733
jg11838	GO:0009791
jg11838	GO:0009886
jg11838	GO:0009887
jg11838	GO:0009914
jg11838	GO:0010015
jg11838	GO:0010588
jg11838	GO:0015849
jg11838	GO:0016192
jg11838	GO:0030154
jg11838	GO:0032870
jg11838	GO:0036211
jg11838	GO:0043412
jg11838	GO:0044267
jg11838	GO:0048469
jg11838	GO:0048513
jg11838	GO:0048645
jg11838	GO:0048729
jg11838	GO:0048731
jg11838	GO:0048829
jg11838	GO:0051276
jg11838	GO:0051707
jg11838	GO:0055085
jg11838	GO:0060429
jg11838	GO:0071310
jg11838	GO:0071702
jg11838	GO:0071705
jg12569	GO:0006066
jg12569	GO:0006644
jg12569	GO:0006796
jg12569	GO:0008610
jg12569	GO:0008654
jg12569	GO:0009308
jg12569	GO:0044106
jg12569	GO:0044283
jg12569	GO:0045017
jg12569	GO:0046470
jg12569	GO:0046486
jg12569	GO:0090407
jg12569	GO:1901566
jg12569	GO:1901617
jg12594	GO:0005985
jg12594	GO:0006796
jg12594	GO:0009311
jg12594	GO:0016051
jg12594	GO:0034637
jg12594	GO:0046351
jg11614	GO:0006259
jg11614	GO:0006974
jg11614	GO:0022402
jg11614	GO:0051276
jg11614	GO:0090304
jg11865	GO:0006066
jg11865	GO:0006644
jg11865	GO:0006796
jg11865	GO:0009308
jg11865	GO:0009966
jg11865	GO:0010119
jg11865	GO:0010646
jg11865	GO:0012501
jg11865	GO:0016042
jg11865	GO:0023056
jg11865	GO:0044106
jg11865	GO:0046470
jg11865	GO:0046486
jg11865	GO:0048522
jg11865	GO:0048584
jg11886	GO:0009063
jg11886	GO:0009072
jg11886	GO:0009416
jg11886	GO:0009699
jg11886	GO:0009803
jg11886	GO:0009808
jg11886	GO:0009819
jg11886	GO:0016053
jg11886	GO:0016054
jg11886	GO:0019438
jg11886	GO:0019439
jg11886	GO:0042537
jg11886	GO:0043436
jg11886	GO:0044282
jg11886	GO:0044283
jg11886	GO:0044550
jg11886	GO:0046271
jg11886	GO:0048229
jg11886	GO:1901361
jg11886	GO:1901362
jg11886	GO:1901565
jg11886	GO:1901605
jg11886	GO:1901616
jg12175	GO:0000226
jg12175	GO:0007010
jg12175	GO:0030031
jg12175	GO:0032989
jg12175	GO:0044782
jg12175	GO:0070925
jg12159	GO:0007389
jg12159	GO:0009059
jg12159	GO:0009416
jg12159	GO:0009616
jg12159	GO:0009733
jg12159	GO:0009790
jg12159	GO:0009791
jg12159	GO:0009887
jg12159	GO:0009889
jg12159	GO:0009892
jg12159	GO:0009965
jg12159	GO:0010016
jg12159	GO:0010467
jg12159	GO:0016070
jg12159	GO:0018130
jg12159	GO:0019048
jg12159	GO:0019438
jg12159	GO:0030154
jg12159	GO:0031323
jg12159	GO:0034645
jg12159	GO:0034654
jg12159	GO:0044271
jg12159	GO:0048513
jg12159	GO:0048731
jg12159	GO:0048827
jg12159	GO:0051171
jg12159	GO:0051701
jg12159	GO:0051707
jg12159	GO:0051817
jg12159	GO:0060255
jg12159	GO:0080090
jg12159	GO:0090304
jg12159	GO:1901362
jg11954	GO:0009059
jg11954	GO:0009100
jg11954	GO:0034645
jg11954	GO:0036211
jg11954	GO:0043412
jg11954	GO:0043413
jg11954	GO:0044267
jg11954	GO:1901137
jg11663	GO:0009407
jg11663	GO:0009651
jg11663	GO:0009733
jg11663	GO:0009814
jg11663	GO:0009889
jg11663	GO:0010038
jg11663	GO:0032870
jg11663	GO:0046283
jg11663	GO:0051707
jg11663	GO:0071310
jg11663	GO:0080090
jg12437	GO:0006508
jg12437	GO:0009057
jg12437	GO:0010038
jg12437	GO:0030163
jg12437	GO:0044265
jg12437	GO:0044267
jg12437	GO:0090304
jg12058	GO:0006508
jg12058	GO:0006796
jg12058	GO:0036211
jg12058	GO:0043412
jg12058	GO:0044267
jg12295	GO:0006839
jg12295	GO:0007005
jg12295	GO:0015031
jg12295	GO:0016482
jg12295	GO:0032526
jg12295	GO:0033993
jg12295	GO:0034613
jg12295	GO:0045184
jg12295	GO:0048285
jg12295	GO:0071702
jg11475	GO:0006066
jg11475	GO:0007389
jg11475	GO:0008202
jg11475	GO:0008610
jg11475	GO:0009889
jg11475	GO:0009892
jg11475	GO:0016125
jg11475	GO:0031323
jg11475	GO:0044283
jg11475	GO:0048523
jg11475	GO:0051171
jg11475	GO:0051726
jg11475	GO:0060255
jg11475	GO:0080090
jg11475	GO:1901362
jg11475	GO:1901617
jg11417	GO:0006796
jg11417	GO:0023014
jg11417	GO:0036211
jg11417	GO:0043412
jg11417	GO:0044267
jg12611	GO:0006631
jg12611	GO:0008610
jg12611	GO:0009416
jg12611	GO:0009814
jg12611	GO:0016053
jg12611	GO:0042335
jg12611	GO:0043436
jg12611	GO:0044283
jg12611	GO:0051707
jg12176	GO:0010467
jg12176	GO:0016070
jg12176	GO:0065003
jg12176	GO:0071826
jg12176	GO:0090304
jg12585	GO:0007005
jg12585	GO:0007031
jg12585	GO:0048285
jg12080	GO:0006259
jg12080	GO:0006753
jg12080	GO:0006796
jg12080	GO:0006974
jg12080	GO:0009116
jg12080	GO:0009432
jg12080	GO:0019439
jg12080	GO:0019693
jg12080	GO:0034655
jg12080	GO:0044270
jg12080	GO:0046434
jg12080	GO:0046700
jg12080	GO:0072521
jg12080	GO:0090304
jg12080	GO:1901136
jg12080	GO:1901292
jg12080	GO:1901361
