Query Sequence	GO:EggNOG GO Cellular
jg11965.t1	GO:0044444-cytoplasmic part(L=4)
jg12530.t1	GO:0005737-cytoplasm(L=4)
jg12530.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12530.t1	GO:0044444-cytoplasmic part(L=4)
jg11859.t1	GO:0005737-cytoplasm(L=4)
jg11859.t1	GO:0005783-endoplasmic reticulum(L=4)
jg11859.t1	GO:0005794-Golgi apparatus(L=4)
jg11859.t1	GO:0005887-integral component of plasma membrane(L=4)
jg11859.t1	GO:0012506-vesicle membrane(L=4)
jg11859.t1	GO:0016021-integral component of membrane(L=4)
jg11859.t1	GO:0031205-endoplasmic reticulum Sec complex(L=4)
jg11859.t1	GO:0031410-cytoplasmic vesicle(L=4)
jg11859.t1	GO:0034702-ion channel complex(L=4)
jg11859.t1	GO:0043190-ATP-binding cassette (ABC) transporter complex(L=4)
jg11859.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11859.t1	GO:0044444-cytoplasmic part(L=4)
jg12275.t1	GO:0005737-cytoplasm(L=4)
jg12275.t1	GO:0005829-cytosol(L=4)
jg12275.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12275.t1	GO:0044444-cytoplasmic part(L=4)
jg11496.t1	GO:0005737-cytoplasm(L=4)
jg11496.t1	GO:0005929-cilium(L=4)
jg11496.t1	GO:0030117-membrane coat(L=4)
jg11496.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11496.t1	GO:0044444-cytoplasmic part(L=4)
jg12503.t1	GO:0005737-cytoplasm(L=4)
jg12503.t1	GO:0005794-Golgi apparatus(L=4)
jg12503.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12503.t1	GO:0044444-cytoplasmic part(L=4)
jg11703.t1	GO:0005737-cytoplasm(L=4)
jg11703.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11703.t1	GO:0044444-cytoplasmic part(L=4)
jg12397.t1	GO:0005737-cytoplasm(L=4)
jg12397.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12397.t1	GO:0044444-cytoplasmic part(L=4)
jg12166.t1	GO:0005737-cytoplasm(L=4)
jg12166.t1	GO:0035838-growing cell tip(L=4)
jg12166.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12166.t1	GO:0090404-pollen tube tip(L=4)
jg12166.t1	GO:0090406-pollen tube(L=4)
jg11730.t1	GO:0005737-cytoplasm(L=4)
jg11730.t1	GO:0016021-integral component of membrane(L=4)
jg11730.t1	GO:0031301-integral component of organelle membrane(L=4)
jg11730.t1	GO:0031968-organelle outer membrane(L=4)
jg11730.t1	GO:0032592-integral component of mitochondrial membrane(L=4)
jg11730.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11730.t1	GO:0044444-cytoplasmic part(L=4)
jg11730.t1	GO:0044455-mitochondrial membrane part(L=4)
jg11388.t1	GO:0005737-cytoplasm(L=4)
jg11518.t1	GO:0005737-cytoplasm(L=4)
jg11518.t1	GO:0005783-endoplasmic reticulum(L=4)
jg11518.t1	GO:0005794-Golgi apparatus(L=4)
jg11518.t1	GO:0005829-cytosol(L=4)
jg11518.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11518.t1	GO:0044444-cytoplasmic part(L=4)
jg11884.t1	GO:0005737-cytoplasm(L=4)
jg11884.t1	GO:0005829-cytosol(L=4)
jg11884.t1	GO:0044444-cytoplasmic part(L=4)
jg11769.t1	GO:0005737-cytoplasm(L=4)
jg11769.t1	GO:0009521-photosystem(L=4)
jg11769.t1	GO:0009579-thylakoid(L=4)
jg11769.t1	GO:0016021-integral component of membrane(L=4)
jg11769.t1	GO:0034357-photosynthetic membrane(L=4)
jg11769.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11769.t1	GO:0044436-thylakoid part(L=4)
jg11769.t1	GO:0044444-cytoplasmic part(L=4)
jg11421.t1	GO:0005737-cytoplasm(L=4)
jg11421.t1	GO:0005929-cilium(L=4)
jg11421.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11421.t1	GO:0044447-axoneme part(L=4)
jg11738.t1	GO:0005737-cytoplasm(L=4)
jg11738.t1	GO:0005794-Golgi apparatus(L=4)
jg11738.t1	GO:0016021-integral component of membrane(L=4)
jg11738.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11738.t1	GO:0044444-cytoplasmic part(L=4)
jg12589.t1	GO:0005737-cytoplasm(L=4)
jg12589.t1	GO:0009579-thylakoid(L=4)
jg12589.t1	GO:0016021-integral component of membrane(L=4)
jg12589.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12589.t1	GO:0044444-cytoplasmic part(L=4)
jg11832.t1	GO:0005737-cytoplasm(L=4)
jg11832.t1	GO:0005783-endoplasmic reticulum(L=4)
jg11832.t1	GO:0016021-integral component of membrane(L=4)
jg11832.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11832.t1	GO:0044444-cytoplasmic part(L=4)
jg12156.t1	GO:0005737-cytoplasm(L=4)
jg12156.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12289.t1	GO:0005737-cytoplasm(L=4)
jg12289.t1	GO:0016021-integral component of membrane(L=4)
jg12289.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12289.t1	GO:0044444-cytoplasmic part(L=4)
jg12513.t1	GO:0005737-cytoplasm(L=4)
jg12264.t1	GO:0005737-cytoplasm(L=4)
jg12264.t1	GO:0005829-cytosol(L=4)
jg12264.t1	GO:0012506-vesicle membrane(L=4)
jg12264.t1	GO:0030529-intracellular ribonucleoprotein complex(L=4)
jg12264.t1	GO:0031410-cytoplasmic vesicle(L=4)
jg12264.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12264.t1	GO:0044444-cytoplasmic part(L=4)
jg12424.t1	GO:0005737-cytoplasm(L=4)
jg12424.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12383.t1	GO:0005737-cytoplasm(L=4)
jg12383.t1	GO:0030529-intracellular ribonucleoprotein complex(L=4)
jg12383.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12383.t1	GO:0044444-cytoplasmic part(L=4)
jg12121.t1	GO:0005737-cytoplasm(L=4)
jg12121.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12121.t1	GO:0044444-cytoplasmic part(L=4)
jg12207.t1	GO:0016021-integral component of membrane(L=4)
jg12023.t1	GO:0005618-cell wall(L=4)
jg12023.t1	GO:0005737-cytoplasm(L=4)
jg12023.t1	GO:0005829-cytosol(L=4)
jg12023.t1	GO:0030529-intracellular ribonucleoprotein complex(L=4)
jg12023.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12023.t1	GO:0044444-cytoplasmic part(L=4)
jg11581.t1	GO:0000159-protein phosphatase type 2A complex(L=4)
jg11581.t1	GO:0005618-cell wall(L=4)
jg11581.t1	GO:0005737-cytoplasm(L=4)
jg11581.t1	GO:0005829-cytosol(L=4)
jg11581.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11581.t1	GO:0044444-cytoplasmic part(L=4)
jg11921.t1	GO:0005737-cytoplasm(L=4)
jg11921.t1	GO:0005794-Golgi apparatus(L=4)
jg11921.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11921.t1	GO:0044444-cytoplasmic part(L=4)
jg12294.t1	GO:0005737-cytoplasm(L=4)
jg12294.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12294.t1	GO:0044444-cytoplasmic part(L=4)
jg11784.t1	GO:0005737-cytoplasm(L=4)
jg11784.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11784.t1	GO:0044444-cytoplasmic part(L=4)
jg11864.t1	GO:0005737-cytoplasm(L=4)
jg11864.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11864.t1	GO:0044444-cytoplasmic part(L=4)
jg11979.t1	GO:0005737-cytoplasm(L=4)
jg11979.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11979.t1	GO:0044444-cytoplasmic part(L=4)
jg11838.t1	GO:0005635-nuclear envelope(L=4)
jg11838.t1	GO:0005737-cytoplasm(L=4)
jg11838.t1	GO:0005794-Golgi apparatus(L=4)
jg11838.t1	GO:0005887-integral component of plasma membrane(L=4)
jg11838.t1	GO:0016021-integral component of membrane(L=4)
jg11838.t1	GO:0031301-integral component of organelle membrane(L=4)
jg11838.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11838.t1	GO:0044444-cytoplasmic part(L=4)
jg12569.t1	GO:0005737-cytoplasm(L=4)
jg12569.t1	GO:0005794-Golgi apparatus(L=4)
jg12569.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12569.t1	GO:0044444-cytoplasmic part(L=4)
jg11614.t1	GO:0005694-chromosome(L=4)
jg11614.t1	GO:0005737-cytoplasm(L=4)
jg11614.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11614.t1	GO:0044444-cytoplasmic part(L=4)
jg11865.t1	GO:0005737-cytoplasm(L=4)
jg11865.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11865.t1	GO:0044444-cytoplasmic part(L=4)
jg11886.t1	GO:0005737-cytoplasm(L=4)
jg11886.t1	GO:0005829-cytosol(L=4)
jg11886.t1	GO:0044444-cytoplasmic part(L=4)
jg12175.t1	GO:0005737-cytoplasm(L=4)
jg12175.t1	GO:0005929-cilium(L=4)
jg12175.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12175.t1	GO:0044444-cytoplasmic part(L=4)
jg12159.t1	GO:0005737-cytoplasm(L=4)
jg12159.t1	GO:0005829-cytosol(L=4)
jg12159.t1	GO:0030529-intracellular ribonucleoprotein complex(L=4)
jg12159.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12159.t1	GO:0044444-cytoplasmic part(L=4)
jg11954.t1	GO:0005737-cytoplasm(L=4)
jg11954.t1	GO:0005783-endoplasmic reticulum(L=4)
jg11954.t1	GO:0016021-integral component of membrane(L=4)
jg11954.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11954.t1	GO:0044444-cytoplasmic part(L=4)
jg11663.t1	GO:0005618-cell wall(L=4)
jg11663.t1	GO:0005737-cytoplasm(L=4)
jg11663.t1	GO:0005783-endoplasmic reticulum(L=4)
jg11663.t1	GO:0005829-cytosol(L=4)
jg11663.t1	GO:0009579-thylakoid(L=4)
jg11663.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11663.t1	GO:0044444-cytoplasmic part(L=4)
jg12437.t1	GO:0000502-proteasome complex(L=4)
jg12437.t1	GO:0005737-cytoplasm(L=4)
jg12437.t1	GO:0005829-cytosol(L=4)
jg12437.t1	GO:0005839-proteasome core complex(L=4)
jg12437.t1	GO:0019773-proteasome core complex, alpha-subunit complex(L=4)
jg12437.t1	GO:0030529-intracellular ribonucleoprotein complex(L=4)
jg12437.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12437.t1	GO:0044444-cytoplasmic part(L=4)
jg12058.t1	GO:0016021-integral component of membrane(L=4)
jg12295.t1	GO:0005737-cytoplasm(L=4)
jg12295.t1	GO:0016021-integral component of membrane(L=4)
jg12295.t1	GO:0031301-integral component of organelle membrane(L=4)
jg12295.t1	GO:0031968-organelle outer membrane(L=4)
jg12295.t1	GO:0032592-integral component of mitochondrial membrane(L=4)
jg12295.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12295.t1	GO:0044444-cytoplasmic part(L=4)
jg12295.t1	GO:0044455-mitochondrial membrane part(L=4)
jg11475.t1	GO:0005737-cytoplasm(L=4)
jg11475.t1	GO:0005783-endoplasmic reticulum(L=4)
jg11475.t1	GO:0005794-Golgi apparatus(L=4)
jg11475.t1	GO:0016021-integral component of membrane(L=4)
jg11475.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11475.t1	GO:0044444-cytoplasmic part(L=4)
jg12611.t1	GO:0005737-cytoplasm(L=4)
jg12611.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12611.t1	GO:0044444-cytoplasmic part(L=4)
jg12176.t1	GO:0030529-intracellular ribonucleoprotein complex(L=4)
jg12176.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12585.t1	GO:0005737-cytoplasm(L=4)
jg12585.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12585.t1	GO:0044444-cytoplasmic part(L=4)
jg12080.t1	GO:0005737-cytoplasm(L=4)
jg12080.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12080.t1	GO:0044444-cytoplasmic part(L=4)
jg12402.t1	GO:0000159-protein phosphatase type 2A complex(L=4)
jg12402.t1	GO:0005737-cytoplasm(L=4)
jg12402.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12402.t1	GO:0044444-cytoplasmic part(L=4)
jg12132.t1	GO:0005618-cell wall(L=4)
jg12132.t1	GO:0005737-cytoplasm(L=4)
jg12132.t1	GO:0016021-integral component of membrane(L=4)
jg12132.t1	GO:0019866-organelle inner membrane(L=4)
jg12132.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12132.t1	GO:0044444-cytoplasmic part(L=4)
jg11856.t1	GO:0005737-cytoplasm(L=4)
jg11856.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12047.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12373.t1	GO:0005618-cell wall(L=4)
jg12373.t1	GO:0005737-cytoplasm(L=4)
jg12373.t1	GO:0005794-Golgi apparatus(L=4)
jg12373.t1	GO:0005829-cytosol(L=4)
jg12373.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12373.t1	GO:0044444-cytoplasmic part(L=4)
jg11499.t1	GO:0005737-cytoplasm(L=4)
jg11499.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11499.t1	GO:0044444-cytoplasmic part(L=4)
jg11932.t1	GO:0005737-cytoplasm(L=4)
jg11932.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11545.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12322.t1	GO:0005694-chromosome(L=4)
jg12322.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11756.t1	GO:0005737-cytoplasm(L=4)
jg11756.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11489.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12113.t1	GO:0005737-cytoplasm(L=4)
jg12113.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12113.t1	GO:0044444-cytoplasmic part(L=4)
jg12400.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12279.t1	GO:0005737-cytoplasm(L=4)
jg12279.t1	GO:0005829-cytosol(L=4)
jg12279.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12279.t1	GO:0044444-cytoplasmic part(L=4)
jg11697.t1	GO:0005737-cytoplasm(L=4)
jg11697.t1	GO:0005794-Golgi apparatus(L=4)
jg11697.t1	GO:0005829-cytosol(L=4)
jg11697.t1	GO:0031410-cytoplasmic vesicle(L=4)
jg11697.t1	GO:0035838-growing cell tip(L=4)
jg11697.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11697.t1	GO:0044444-cytoplasmic part(L=4)
jg11697.t1	GO:0090404-pollen tube tip(L=4)
jg11697.t1	GO:0090406-pollen tube(L=4)
jg12068.t1	GO:0005737-cytoplasm(L=4)
jg12068.t1	GO:0005783-endoplasmic reticulum(L=4)
jg12068.t1	GO:0016021-integral component of membrane(L=4)
jg12068.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12068.t1	GO:0044444-cytoplasmic part(L=4)
jg11604.t1	GO:0005737-cytoplasm(L=4)
jg11604.t1	GO:0005783-endoplasmic reticulum(L=4)
jg11604.t1	GO:0005829-cytosol(L=4)
jg11604.t1	GO:0016021-integral component of membrane(L=4)
jg11604.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11604.t1	GO:0044444-cytoplasmic part(L=4)
jg11964.t1	GO:0005737-cytoplasm(L=4)
jg11964.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11964.t1	GO:0044444-cytoplasmic part(L=4)
jg12491.t1	GO:0005737-cytoplasm(L=4)
jg12491.t1	GO:0005783-endoplasmic reticulum(L=4)
jg12491.t1	GO:0005794-Golgi apparatus(L=4)
jg12491.t1	GO:0012506-vesicle membrane(L=4)
jg12491.t1	GO:0016021-integral component of membrane(L=4)
jg12491.t1	GO:0031410-cytoplasmic vesicle(L=4)
jg12491.t1	GO:0043005-neuron projection(L=4)
jg12491.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12491.t1	GO:0044444-cytoplasmic part(L=4)
jg12574.t1	GO:0005737-cytoplasm(L=4)
jg12574.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12574.t1	GO:0044444-cytoplasmic part(L=4)
jg11432.t1	GO:0005737-cytoplasm(L=4)
jg11432.t1	GO:0005829-cytosol(L=4)
jg11432.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11432.t1	GO:0044444-cytoplasmic part(L=4)
jg11667.t1	GO:0005737-cytoplasm(L=4)
jg11667.t1	GO:0005829-cytosol(L=4)
jg11667.t1	GO:0030529-intracellular ribonucleoprotein complex(L=4)
jg11667.t1	GO:0044444-cytoplasmic part(L=4)
jg11692.t1	GO:0005737-cytoplasm(L=4)
jg11692.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11692.t1	GO:0044444-cytoplasmic part(L=4)
jg11410.t1	GO:0005737-cytoplasm(L=4)
jg11410.t1	GO:0016021-integral component of membrane(L=4)
jg11410.t1	GO:0019866-organelle inner membrane(L=4)
jg11410.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11410.t1	GO:0044444-cytoplasmic part(L=4)
jg12149.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12417.t1	GO:0005737-cytoplasm(L=4)
jg12417.t1	GO:0016021-integral component of membrane(L=4)
jg12417.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12417.t1	GO:0044444-cytoplasmic part(L=4)
jg12475.t1	GO:0016021-integral component of membrane(L=4)
jg11682.t1	GO:0005618-cell wall(L=4)
jg11682.t1	GO:0005737-cytoplasm(L=4)
jg11682.t1	GO:0005783-endoplasmic reticulum(L=4)
jg11682.t1	GO:0005829-cytosol(L=4)
jg11682.t1	GO:0009579-thylakoid(L=4)
jg11682.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11682.t1	GO:0044444-cytoplasmic part(L=4)
jg11426.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11668.t1	GO:0016021-integral component of membrane(L=4)
jg12454.t1	GO:0005737-cytoplasm(L=4)
jg12454.t1	GO:0005829-cytosol(L=4)
jg12454.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12454.t1	GO:0044444-cytoplasmic part(L=4)
jg11721.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12151.t1	GO:0005737-cytoplasm(L=4)
jg12151.t1	GO:0005783-endoplasmic reticulum(L=4)
jg12151.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12151.t1	GO:0044444-cytoplasmic part(L=4)
jg11908.t1	GO:0005737-cytoplasm(L=4)
jg11908.t1	GO:0005829-cytosol(L=4)
jg11908.t1	GO:0044444-cytoplasmic part(L=4)
jg12137.t1	GO:0016021-integral component of membrane(L=4)
jg12110.t1	GO:0000159-protein phosphatase type 2A complex(L=4)
jg12108.t1	GO:0005737-cytoplasm(L=4)
jg12108.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12108.t1	GO:0044444-cytoplasmic part(L=4)
jg11910.t1	GO:0005737-cytoplasm(L=4)
jg11910.t1	GO:0005794-Golgi apparatus(L=4)
